,TINFOLEAK Report
,Vicente Aguilera Díaz
,@VAguileraDiaz
,www.isecauditors.com
""
,>>> Date:,2020-07-28
,>>> Time:,17:12
,>>> Analyzed user:,FairDela
,>>> Information:,Friends
""
#,ID,USERNAME,SCREEN NAME,DESCRIPTION,PROFILE IMAGE URL,PROFILE BANNER URL,CREATED AT,LOCATION,TIME_ZONE,GEO ENABLED,FOLLOWERS COUNT,FRIENDS COUNT,STATUSES COUNT,LISTED COUNT,FAVOURITES COUNT,USER VERIFIED,USER LANG
1,1084586738432000000,BrunoBarking,Bruno062418,"Digging for #Truth, Defending the Constitution, Life Liberty and the Pursuit of Happiness, 2A, #GodWins",http://pbs.twimg.com/profile_images/1286464452766904326/BAbEiKCV_normal.jpg,,2019-01-13 23:03:23,"The Dog House, apparently",,True,43202,2791,40783,177,20546,False,
2,1193794827457986560,Liberal white racist,tj_cos,,http://pbs.twimg.com/profile_images/1283636526883188737/ubrarDV8_normal.jpg,,2019-11-11 07:37:39,Santiago de Queretaro ,,False,35,67,2909,0,5754,False,
3,309970677,G. K. Chesterton,GKCdaily,Writer. Thinker. Poet. (1874-1936),http://pbs.twimg.com/profile_images/1001185133360230401/6bcBjmMe_normal.jpg,http://abs.twimg.com/images/themes/theme7/bg.gif,2011-06-03 00:08:16,,,False,100651,63,19675,932,4774,False,
4,415662586,HARRY VOX - life during wartime,voxnews1,"Whatever their STATED position, claim, objective or goal is-
ALWAYS take the EXACT OPPOSITE and you're much closer to the truth than that utter lie they spout!",http://pbs.twimg.com/profile_images/1243948029960425472/WU4LjtEp_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2011-11-18 16:51:45,"Nueva York, USA",,True,4874,83,2785,13,522,False,
5,121532017,Stella Immanuel MD,stella_immanuel,"Physician, Author, Speaker, Entrepreneur, Deliverance Minister, God's battle axe and weapon of war. Rehoboth Medical Center, Houston, TX. Fire Power Ministries.",http://pbs.twimg.com/profile_images/1083839675/Dr_Stella_Profile_Pic__small__normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2010-03-09 20:07:16,"Houston, TX",,False,110624,64,510,210,29,False,
6,1287892798855876614,Todd Burgun,ToddBurgun,There's a plan. I trust it. So should you. Not the coastguard.,http://pbs.twimg.com/profile_images/1287916138106630146/dNGYYuTJ_normal.jpg,,2020-07-27 23:30:03,These United States,,False,16142,136,36,33,76,False,
7,1243579902806368257,KarenBSpunky,KarenBSpunky,"Michigan homeschool mom of 6 (five graduated).  Two sons who served in the USMC.  Go blue! ""Karen"" memes and homeschool jokes are compliments to me.",http://pbs.twimg.com/profile_images/1262481544196825088/I5oTsmNf_normal.jpg,,2020-03-27 16:45:40,,,False,297,255,7778,4,1243,False,
8,1873568736,Jonathan T Gilliam,JGilliam_SEAL,"#CHRISTIAN, #NavySEAL, #FBI Special Agent, Host of #TheEXPERTSpodcast, SiriusXM host, fill in for Hannity,Gorka,Wilkow,Webb, Best-Selling Author of #SheepNoMore",http://pbs.twimg.com/profile_images/1214828390601150464/l3QRKhVH_normal.jpg,http://abs.twimg.com/images/themes/theme14/bg.gif,2013-09-17 01:01:23,#TruthHasArrived,,False,120883,8121,18243,404,40414,True,
9,2336748419,Woke Societies,wokesocieties,Waking up the people of this world with full disclosure and truth and to break the illusion that has been pulled over our eyes.,http://pbs.twimg.com/profile_images/1184163712967565312/c8BVpCfv_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2014-02-11 00:37:30,,,False,23662,689,7619,42,14024,False,
10,566744765,Shelby Talcott,ShelbyTalcott,"Media Reporter @DailyCaller // Past: Pro Tennis Player, Iowa Hawkeye. RT ≠ Endorsements.",http://pbs.twimg.com/profile_images/1271352482627678208/1fpwJye6_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2012-04-29 23:22:16,,,True,37704,642,3797,204,8122,True,
