,TINFOLEAK Report
,Vicente Aguilera Díaz
,@VAguileraDiaz
,www.isecauditors.com
""
,>>> Date:,2020-07-28
,>>> Time:,22:44
,>>> Analyzed user:,KittiKarella
,>>> Information:,Membership Lists
""
#,ID,LIST NAME,LIST DESCRIPTION,LIST MEMBER COUNT,LIST SUBSCRIBER COUNT,LIST URI,USER SCREEN NAME,USER CREATED AT,USER NAME,USER DESCRIPTION,USER FOLLOWERS,USER FRIENDS
1,821942022739230726,Favorito,,407,0,/LucasRibeiro848/lists/favorito,LucasRibeiro848,Sat May 07 15:27:20 +0000 2016,LK Ribeiro😎,,203,3957
2,1263679054697377794,2 damn sexy,Flawless,18,0,/flawlessassnti1/lists/2-damn-sexy,flawlessassnti1,Wed Jul 17 04:15:12 +0000 2019,flawlessassntits,I’m here to promote the baddest on Twitter big titties n thick ladies welcome submissions welcome if u wanna be featured send pics that u want featured,212,1196
3,1219885214056493056,💲Outlawz💲,,190,0,/6_rebirth_6/lists/outlawz,6_rebirth_6,Wed Sep 26 07:03:23 +0000 2018,rebirthbbc,"#libra♎
#ripgrandma☝🏽
#postivevibesonly💯
#outlawz🖕🏽
L.A. to H-Town🤘🏾",109,4984
4,1201636160034000897,N,,7,0,/caieterno/lists/n,caieterno,Wed Aug 05 19:00:18 +0000 2015,RODRY,"infierno rojo !!_⚽_DEFENSORES #TIEMPOS .
Sagitariano  ♐
mastero — irionero 🎼.
BOXEAR👊MIKE TYSON..
MUERTE A LA SHUTA
13/12/2017",246,225
5,1210884894315962368,Pe,,79,0,/yamaguky/lists/pe,yamaguky,Thu Nov 02 23:41:43 +0000 2017,yashiro,"tu talento y conocimientos te harán grande,pero tu sencillez y humildad te harán eterno,porque en la vida hay que soñar en grande y disfrutar las cosas pequeñas",8,119
6,1171684629960634368,My gorgeous crush,,788,4,/Goon_Nwk/lists/my-gorgeous-crush,Goon_Nwk,Sat Oct 21 09:24:56 +0000 2017,Idivine Supreme,,84,2711
7,1228370095304585216,Thickness (My Faves),A round up of the sexiest thick females on twitter search no more 1 stop shop,77,2,/mrmrsxxx222/lists/thickness-my-faves,mrmrsxxx222,Fri Feb 14 17:02:30 +0000 2020,𝙼𝚁𝙼𝚁𝚂𝚇𝚇𝚇222,adults only 🔞 Mr=🔱 Mrs=☯️ goodtimes #covid19 #free follow #rt #bbc #bbw #couple #cum #squirt #thick https://t.co/dXG8INfSOk #blackouttuesday,6000,3538
8,1111051409519075329,外国,ERO,66,1,/akira_bio6/lists/list,akira_bio6,Tue May 14 13:20:47 +0000 2013,アキラ,"産まれも育ちも長野県、ゲーム・マンガ・アニメ好きで、料理もする
温かい家庭を築きたいと常々思ってるが、そもそも相手がいない…(;´д｀)",1008,4982
9,1110125613493424130,Ebony Elegance.,,484,13,/The_Lust_Cloud/lists/ebony-elegance,The_Lust_Cloud,Mon Dec 12 07:57:13 +0000 2016,𝐓𝐇𝐄 𝐋𝐔𝐒𝐓 𝐂𝐋𝐎𝐔𝐃 💙⛈️💌 Shadowbanned Art,"🔞 Adorning The Female Form, Sensuality, Erotic-Aesthetics and Hardcore Fucking!
 Showcasing The H🔥ttest OnlyFans, Models, Escorts, Nymphs & Freaks! #TLCXXX",2132,4140
10,1193292500150210560,Sexy,,30,0,/Eric03261831/lists/sexy,Eric03261831,Thu Apr 27 06:13:56 +0000 2017,Eric,,53,1453
11,1178690090756902912,Tetas,,497,12,/Lucianocba6/lists/tetas,Lucianocba6,Mon Sep 30 15:12:12 +0000 2019,Lucianocba,me encanta el sexo cba,293,2237
12,1185397704911970304,Wholelottabooty,Xxx,4931,36,/usswag/lists/wholelottabooty,usswag,Thu Nov 25 04:10:29 +0000 2010,swagus,im trying to get a hole lot of nice looking girls and they have to give a description of self name number to reach them leave info to be in a music video,448,5005
13,1182558650285658112,😈,,2924,32,/TJones609btl/lists/list,TJones609btl,Tue Feb 05 11:01:24 +0000 2013,TJones,,760,742
14,1124673493956644865,リスト,,2320,37,/bo5nrvHemhdcEZn/lists/list,bo5nrvHemhdcEZn,Sat May 04 13:34:43 +0000 2019,花のお相撲,,45,2294
15,1190531827003535362,Sexiest ladies ever,Perfection ,6,0,/baddiesnoflaws/lists/sexiest-ladies-ever,baddiesnoflaws,Fri Nov 01 22:08:37 +0000 2019,tittays,Promoting nothing but the baddest bustiest women on Twitter if u wanna be featured inbox pics,40,254
16,1177171887786483713,My list,,35,1,/iWalksOnWater/lists/my-list,iWalksOnWater,Thu Jan 27 18:13:21 +0000 2011,Reezy,"I love my black people✊🏾, my black women👸🏾, Jackson State 🐯 Arizona State ☀️😈#luvthaboom #PHA",1147,2782
17,1170830554088071169,Bb,,35,0,/thelittleflame4/lists/bb,thelittleflame4,Sun Dec 04 10:52:45 +0000 2016,Akinlade James,,4,621
18,1175138317869993985,Private,,6,1,/vickyJa25795698/lists/private,vickyJa25795698,Fri Aug 16 21:22:40 +0000 2019,vicky Jaan,"Live and Let Live Others 
I Like My attitude because I'm something in this world I'm proud to be a Sindhi.",31,423
19,1173955021680955392,Preferidos,Ufff,79,1,/BrandDeiver/lists/preferidos,BrandDeiver,Tue Sep 17 10:11:15 +0000 2019,Deiver P. Brand,hay que darle contenido a la vida,94,4959
20,1120102857229918210,New,,20,0,/JustComptBricks/lists/new,JustComptBricks,Thu Aug 03 20:30:45 +0000 2017,DAVELLI,#BIGTHUGMUSIC. https://t.co/9e1xoba4GT insta:justcomptbricks  👻:jcbricks,103,292
21,869410839941570560,Mzblack,,1520,30,/Mzblack773/lists/mzblack,Mzblack773,Tue Sep 14 19:09:22 +0000 2010,💕Deneen💕,,13924,12975
22,1149636499605872640,Baddies,Real Women Only,1,0,/VdaplugG/lists/baddies,VdaplugG,Sat Apr 23 04:14:14 +0000 2016,DAtzDAReal_VdaPluGg,Just V or #TRYITG=ThaRealistYungStAInThaGaMe..if you don't believe me Just Go Ask Em..Anything else Personal About Me You Know..HMU,24,213
23,232069581,TOP-TIER,,269,2,/ThePromoElder/lists/top-tier,ThePromoElder,Thu Sep 03 15:09:53 +0000 2009,lex,FGC & Smash Spectator,1909,313
24,756513423509352449,SinCity,,334,7,/LyncJohnson/lists/sincity,LyncJohnson,Wed Nov 28 13:00:19 +0000 2012,Lync Johnson (aka Black P.I.P.E.) 🔞,"Connect, Support, Build, Repeat. ISTP.✨
fka @BlackPipeXXX Pleasure Intensified by Passionate Engagement.
❌❌❌ https://t.co/Xy7TdxzGlY
(header by @xKingIsGodx)",8298,3442
25,6040724,crazii but gorgeous,,478,73,/ThaMainEventHD/lists/crazii-but-gorgeous,ThaMainEventHD,Sat Oct 31 19:46:26 +0000 2009,Rey Fenice,🕋Dark Lord Of The Sith 👑#FBA Nysk Rico CEO&President Of BM$€ Believer of 🤴🏾King Yahshua🦁 IPhone📲 Gang {Mercenary4Hire},1252,1063
