,TINFOLEAK Report
,Vicente Aguilera Díaz
,@VAguileraDiaz
,www.isecauditors.com
""
,>>> Date:,2020-07-27
,>>> Time:,23:25
,>>> Analyzed user:,LittletonTWalle
,>>> Information:,Friends
""
#,ID,USERNAME,SCREEN NAME,DESCRIPTION,PROFILE IMAGE URL,PROFILE BANNER URL,CREATED AT,LOCATION,TIME_ZONE,GEO ENABLED,FOLLOWERS COUNT,FRIENDS COUNT,STATUSES COUNT,LISTED COUNT,FAVOURITES COUNT,USER VERIFIED,USER LANG
1,3304499628,🌿Steph Philip🌿,stephphilip8,"🗽“IF THE FREEDOM OF SPEECH IS TAKEN AWAY
then dumb & silent we may be led
like sheep to the slaughter”
-George Washington
Own opinions. RT ≠ endorsement 🚫LIST",http://pbs.twimg.com/profile_images/775575541730521089/n0cyQLkB_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2015-08-02 20:24:18,Parler & Gab: @StephPhilip,,False,42924,42037,219178,4,109278,False,
2,1098397410504646656,Brenda DIgmon,BrendaDigmon,"Proud Christian USAF mom and grandmother!! Cancer survivor Supporter of 💥common sense, #TRUMP2020, #supporthepolice, #WeThePeople, #freespeech 🇺🇸🇺🇸🇺🇸",http://pbs.twimg.com/profile_images/1280980159919767555/qQ9QohCB_normal.jpg,,2019-02-21 01:42:04,"Alabama, USA",,False,325,841,409,2,3611,False,
3,3047722897,Mike Lindell,realMikeLindell,Inventor and CEO of MyPillow 🇺🇸 Evangelist 🙏🏼 Author 📖 Former Crack-Addict #WhatAretheOdds,http://pbs.twimg.com/profile_images/855439170063536129/24_RnYSe_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2015-02-27 20:57:25,"Chaska, MN",,True,242435,10013,1594,370,1778,True,
4,3420421481,Nicholas Sandmann,N1ckSandmann,"TU '24, CCH '20",http://pbs.twimg.com/profile_images/1282531872715808771/rjeEMJew_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2015-08-13 16:21:59,United States,,True,126288,173,1085,123,2026,False,
5,2874102076,Ashley StClair 🇺🇸,stclairashley,Freedom Fighter. Patriot. Occasionally funny. Press & business inquiries: ashleystclairpress@protonmail.com Check out my latest YouTube video below!,http://pbs.twimg.com/profile_images/1276223452471386112/WxhKs0eZ_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2014-11-12 18:29:17,IG: realashleystclair,,True,317309,784,4584,654,38853,False,
6,347613960,gassin123charts,gassin123Charts,Chartist Trader #ASX  : Bottoms = Breakouts = Uptrends = Peaks + Support Zones  ..Hunter,http://pbs.twimg.com/profile_images/821227965971185664/MbDfhygb_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2011-08-03 02:26:35,"Sydney, New South Wales",,True,8435,5576,100917,78,291777,False,
7,931187167811985409,Mayor Jenny Durkan,MayorJenny,Jenny A. Durkan is the 56th Mayor of Seattle.  View the City’s policies at https://t.co/AWlW3frzbs.,http://pbs.twimg.com/profile_images/1266174330561425408/A1theh10_normal.jpg,,2017-11-16 15:48:16,,,False,69244,48,4310,654,62,True,
8,583456963,🇺🇸 Tiff 🇺🇸,LATiffani1,I’ve ALWAYS been proud of my country. Conservative. Snarky as hell “ Tiff-moods” and I don’t hold back. #Trump2020🇺🇸,http://pbs.twimg.com/profile_images/1267443613287378944/e_fbc2cx_normal.png,http://abs.twimg.com/images/themes/theme17/bg.gif,2012-05-18 04:20:48,USA,,False,133494,17413,187611,235,273619,False,
9,105550996,antilibtard44,AntiLibtard44,#MAGA #KAG #TRUMP2020 #ALM #1A #2A #savethechildren 💥🌐🔥❄️💦💧☔️😱 #BREXIT 🇬🇧 RT_not_always_endorsement🚫NO DMs🚫,http://pbs.twimg.com/profile_images/1270222955289751557/fcvGsDkJ_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2010-01-16 18:07:41,"Brooklyn, Stuyvesant NY",,False,36789,37630,13978,5,13451,False,
10,1005166460312965121,Harley_1955 --Also on Parler: https:\\parler.com,Harley_1955,"#American #Patriot #Father #SonOfWWIIPow #HarleyRider #GunLover #MAGA #KAG #Trump2020 #1A #2A #ΜΟΛΩΝΛΑΒΕ Come and take it...My blood is red, how about yours?",http://pbs.twimg.com/profile_images/1048989302640844802/6ayzNvZg_normal.jpg,,2018-06-08 19:15:34,Communist Illinois,,False,27941,29975,59019,5,29308,False,
