,TINFOLEAK Report
,Vicente Aguilera Díaz
,@VAguileraDiaz
,www.isecauditors.com
""
,>>> Date:,2020-07-28
,>>> Time:,15:06
,>>> Analyzed user:,RealSaleemJuma
,>>> Information:,Followers
""
#,ID,USERNAME,SCREEN NAME,DESCRIPTION,PROFILE IMAGE URL,PROFILE BANNER URL,CREATED AT,LOCATION,TIME_ZONE,GEO ENABLED,FOLLOWERS COUNT,FRIENDS COUNT,STATUSES COUNT,LISTED COUNT,FAVOURITES COUNT,USER VERIFIED,USER LANG
1,976783278098264064,🌺❤️🌺,myself_oh,"❤️Live
🌺Pray
❤️Love
🌺Smile
❤️Be Kind    
🌺Loving 🇸🇦
❤️🌺❤️🌺❤️",http://pbs.twimg.com/profile_images/1286818593548701698/1sl2Z4I6_normal.jpg,,2018-03-22 11:30:56,🇬🇧 ,,False,3534,3011,57715,5,27557,False,
2,3016033731,Hank,hankh72,"🇳🇱 Born Dutch, 
🇨🇦 Former Canadiano, 
🇺🇸 Presently Americano",http://pbs.twimg.com/profile_images/682114271883345921/2RcZH_Ln_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2015-02-04 02:39:45,"Washington, USA",,False,13,191,106,0,239,False,
3,1286181259878764549,Курс,muHkL21M5UwwmdP,,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,2020-07-23 06:08:25,,,False,0,12,0,0,1,False,
4,1288075010469486594,Flat-Earther,FlatEar50735235,The Earth is flat. That is all.,http://pbs.twimg.com/profile_images/1288125237175828488/JyA2Lmtz_normal.jpg,,2020-07-28 11:33:13,,,False,0,14,15,0,2,False,
5,1277482739491573760,ICplusE,cplus_e,Follow the plan. History geek. Patriot. Anti-Alinsky. Libprog re-educator. Individual thought not party lines. #WWG1WGA #UnityOverDiversity #KAG #GreatAwakening,http://pbs.twimg.com/profile_images/1286911123133014016/w1xvgQfx_normal.jpg,,2020-06-29 06:03:35,,,False,1014,1664,4003,0,3726,False,
6,1287985564667453442,🌿 Wanderer,christiclight,,http://pbs.twimg.com/profile_images/1288001430981242881/_GJpszKa_normal.jpg,,2020-07-28 05:40:46,,,False,5,100,0,0,0,False,
7,914890931488227328,MTLass,mt_lass,🇺🇸🇺🇸🇺🇸,http://pbs.twimg.com/profile_images/1226638414377705474/a04Z1pje_normal.jpg,,2017-10-02 16:32:50,United States,,False,1238,555,27466,0,151329,False,
8,499465075,Cathryn Preffer,ChunkersRus,"Christian, Wife, Mother, Trump Supporter
#winning is my favorite hashtag.
Everything else is just details.",http://pbs.twimg.com/profile_images/1169053126105673735/phlCYoTE_normal.jpg,http://abs.twimg.com/images/themes/theme3/bg.gif,2012-02-22 04:34:35,,,False,382,815,11125,0,44616,False,
9,1287942911972093952,brett6,brett67,Just a hard workin dude who’s tired of the bullshit 👍,http://pbs.twimg.com/profile_images/1287943049654358016/GThpi0ks_normal.jpg,,2020-07-28 02:48:24,,,False,0,79,0,0,0,False,
10,1418725770,Snake Plissken,thequiethit,"I’m not here to argue. if my opinion offends you, you can F off and block me. I’m here to help expose the puppet masters .. #vet. #blackops #seals #patriot",http://pbs.twimg.com/profile_images/1263214517044965376/DYrkqD48_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2013-05-10 18:13:05,I'm Everywhere,,False,1080,1607,12185,2,9273,False,
11,1188987632342069248,John winston,Johnmiguellyon2,,http://pbs.twimg.com/profile_images/1188987815448592384/5cLG-0UD_normal.jpg,,2019-10-29 01:15:29,,,True,4,123,54,0,213,False,
12,1099389198220517376,Marty M,Marty26133768,"Military Retired Combat Veteran USAF, Conserative and Proud of it! We The People!!!! 🇺🇸🇺🇸🇺🇸 I love blocking LIBITARDS!!! BLM TERRORIST ORGANIZATION",http://pbs.twimg.com/profile_images/1285579843753480195/trv7uawU_normal.jpg,,2019-02-23 19:23:05,"Washington, USA",,False,572,1453,13861,2,11215,False,
13,1287000724564566018,CommunismKills,Nick_Ceausescu,🇺🇸🇺🇸 #MAGA #KAG 🇺🇸🇺🇸 #Trump2020 🇺🇸🇺🇸 #1A #2A #WWG1WGA 🇺🇸🇺🇸 IFBAP NO DM,http://pbs.twimg.com/profile_images/1287199191844954112/OHzM8hQW_normal.jpg,,2020-07-25 12:24:30,,,False,327,730,90,0,143,False,
14,1113999044857278464,Sam Honcho,wildbillheax,4-time Dirt-Clod-Fight Champ. Recipient of a lifetime scar in '94 Bottle Rocket Fight Inv'l. Sarcastic. Love my family. Love God. Love USA!,http://pbs.twimg.com/profile_images/1286063592777940994/-b4qOorc_normal.jpg,,2019-04-05 02:57:24,,,False,1084,2579,1403,0,6832,False,
15,21855981,Nacho,niconacho12,conservative.,http://pbs.twimg.com/profile_images/1280983042371305478/bdJv1C0U_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2009-02-25 11:22:48,United Kingdom,,True,703,1909,5655,3,27442,False,
16,1287219013064380416,Kitty Kushmore,KittyKushmore,"Love, peace and harmony for all ...",http://pbs.twimg.com/profile_images/1287223416664109057/Kcm_AamW_normal.jpg,,2020-07-26 02:52:51,,,False,20,75,26,0,145,False,
