,TINFOLEAK Report
,Vicente Aguilera Díaz
,@VAguileraDiaz
,www.isecauditors.com
""
,>>> Date:,2020-07-28
,>>> Time:,17:32
,>>> Analyzed user:,VOCRadioRobDoc
,>>> Information:,Friends
""
#,ID,USERNAME,SCREEN NAME,DESCRIPTION,PROFILE IMAGE URL,PROFILE BANNER URL,CREATED AT,LOCATION,TIME_ZONE,GEO ENABLED,FOLLOWERS COUNT,FRIENDS COUNT,STATUSES COUNT,LISTED COUNT,FAVOURITES COUNT,USER VERIFIED,USER LANG
1,1024803242360877056,Mr. BOTUS,MrBOTUS_520,"If you know, you know. RTs are Not endorsements. Info is for you to discern",http://pbs.twimg.com/profile_images/1286440427613122560/7DL6oL5-_normal.jpg,,2018-08-01 23:45:07,United States,,False,47510,438,900,91,789,False,
2,36528126,Kirstie Alley,kirstiealley,"Mother, actress, Lover of CAPS, lemurs and off color language",http://pbs.twimg.com/profile_images/992559243831132161/5PmJrMAg_normal.jpg,http://abs.twimg.com/images/themes/theme11/bg.gif,2009-04-30 00:01:00,Hollywood,,True,1345792,770,74818,11275,20530,True,
3,1009049424599937024,United States Space Force ➐................ ᵖᵃʳᵒᵈʸ,SpaceCorpsUS,"United States Space Force twitter: Stay up to date on all things Space Force! (Following, RTs & likes ≠ endorsement)",http://pbs.twimg.com/profile_images/1286011862212124674/voYh0ltO_normal.jpg,,2018-06-19 12:25:04,"Washington, DC",,False,41374,166,1294,109,987,False,
4,4282987814,Puppet String News,NewsPuppet,"Anti mainstream news source, Created by a US NAVY vet. silenced! #MAGA as fuck, love calling out fake #MAGA as well.
#Qanon #WWG1WGA",http://pbs.twimg.com/profile_images/1090919297667424258/P-_fyoBv_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2015-11-18 21:48:06,"Lakeside, FL/Jacksonville, FL",,False,5347,90,41607,70,4573,False,
5,1198316679047991296,Oz,OzRevealed,"Backup on Parler: @OzRevealed

Question EVERYTHING. Judge EVERY tree by its fruit. Stand united and get in the FIGHT! 

#StandUp #TheGreatAwakening",http://pbs.twimg.com/profile_images/1267647829528342528/OraURhM3_normal.jpg,,2019-11-23 19:06:02,,,False,5779,12,468,13,411,False,
6,1183197550645526528,Ginger,TrumpEmGingerly,"#Freedom
#Liberty
#Constitution 
#2A
#1A
#Patriot 
#Veteran
#MAGA
#KAG2020
#ChildOfGod",http://pbs.twimg.com/profile_images/1183197967177658369/g552w37x_normal.jpg,,2019-10-13 01:47:50,"Murfreesboro, TN",,False,1512,1867,18870,0,30353,False,
7,750899256983257088,John,Gsm3636John,"Business & Finance, News, Politics, History, MAGA, US Army Warrant",http://pbs.twimg.com/profile_images/1135403247894638592/wp0NMEfC_normal.jpg,,2016-07-07 03:48:28,Idaho,,True,464,164,33354,1,58171,False,
8,1230589207791493123,🇺🇸 3Days3Nights 🇺🇸,3days3nights,👁‍🗨 Pro Trump 2020 ✝️ Christian ⭐️ RT’s are not endorsements. 🔺 I am not a conspiracy theorist. 🇺🇸 Pro Life 🔎 All Opinions Are My Own #MAGA #KAG2020,http://pbs.twimg.com/profile_images/1231348403885543429/dqsj5UyC_normal.jpg,,2020-02-20 20:25:57,,,False,45820,1111,5450,178,2869,False,
9,342391099,🇺🇸🇺🇸🇺🇸ⓌⓌⒼ①ⓌⒼⒶ,SpongeHarris,Nickelodeon TV ⭐️ Twitter won't verify since I'm Pro-Trump. Outdoorsman. NPO Founder. WWG1️⃣WGA 💯follow-back for Patriots.,http://pbs.twimg.com/profile_images/1041075540055060480/giXmbW4a_normal.jpg,http://abs.twimg.com/images/themes/theme9/bg.gif,2011-07-25 23:08:54,"California, USA",,False,20047,9113,12098,14,27510,False,
10,876356191219331072,Yankee Rebel B⭐tch 🇺🇸,YankeeBitch,"Pure American N*tionalist 🇺🇸🙏

Fmr Talent Mgr/Intern. business scholar/PTK alum/Team Trump

I was taught to speak the truth & I'll NEVER apologize for it.",http://pbs.twimg.com/profile_images/1236671092380635138/JuLFQyae_normal.jpg,,2017-06-18 08:29:32,Here & there ALL over the USA,,False,1508,2022,1843,1,4015,False,
11,1195161449728892928,Cowboyw2b,ToddWal47945939,"🇺🇸WWG1WGA🇺🇸
Just throwing stuff at the wall, to see if anything sticks.
Hive mind is a thing.",http://pbs.twimg.com/profile_images/1195174894805192704/kv_8OqhN_normal.jpg,,2019-11-15 02:08:25,Grand Canyon State,,False,9378,758,6389,16,2318,False,
