,TINFOLEAK Report
,Vicente Aguilera Díaz
,@VAguileraDiaz
,www.isecauditors.com
""
,>>> Date:,2020-07-28
,>>> Time:,01:43
,>>> Analyzed user:,kswolfley
,>>> Information:,Friends
""
#,ID,USERNAME,SCREEN NAME,DESCRIPTION,PROFILE IMAGE URL,PROFILE BANNER URL,CREATED AT,LOCATION,TIME_ZONE,GEO ENABLED,FOLLOWERS COUNT,FRIENDS COUNT,STATUSES COUNT,LISTED COUNT,FAVOURITES COUNT,USER VERIFIED,USER LANG
1,52791522,Big Brother,CBSBigBrother,Get ready for a new season of Big Brother - August 5th at 9/8c on CBS!,http://pbs.twimg.com/profile_images/1286301693416677376/Zlyvb0SO_normal.jpg,http://abs.twimg.com/images/themes/theme14/bg.gif,2009-07-01 17:33:51,,,False,825133,192,14736,3051,6228,True,
2,3246989138,𝙹𝙰𝙼𝙴𝚂 𝙷𝚄𝙻𝙸𝙽𝙶,AsianJamesBB17,Texas🌵,http://pbs.twimg.com/profile_images/1281864153746087942/yo4EXpNQ_normal.jpg,http://abs.twimg.com/images/themes/theme18/bg.gif,2015-06-16 16:56:58,"Texas, USA",,True,107477,497,10485,607,30228,True,
3,900510354127687680,Julie Oliver,JulieOliverTX,"Former Medicaid mom and healthcare finance expert, fighting for Medicare for All and to represent Austin and Central Texas in Congress for #TX25.",http://pbs.twimg.com/profile_images/1273469590933250050/WjIBVW9r_normal.jpg,,2017-08-24 00:09:33,"Austin, TX",,True,30132,2883,7015,263,11582,True,
4,14642495,Sarah Cooper,sarahcpr,writer / comedian / #blockedbytrump / wrote 100 Tricks to Appear Smart in Meetings & How to Be Successful Without Hurting Men's Feelings,http://pbs.twimg.com/profile_images/1281436888667172868/AnXQMssn_normal.jpg,http://abs.twimg.com/images/themes/theme14/bg.gif,2008-05-03 23:30:29,"Brooklyn, NY",,False,2033211,2963,37462,4723,138968,True,
5,246837516,Natalie Maines,1NatalieMaines,Black Lives Matter,http://pbs.twimg.com/profile_images/1267672813818638337/lLRvDn34_normal.jpg,http://abs.twimg.com/images/themes/theme15/bg.png,2011-02-03 15:35:09,Los Angeles,,False,168749,125,10910,1302,909,True,
6,403853462,Stuart Schrader,stschrader1,"cops, counterinsurgency, the cold war, & the color line | author of Badges Without Borders: How Global Counterinsurgency Transformed American Policing, @ucpress",http://pbs.twimg.com/profile_images/1163241220828794886/X2pXfh84_normal.jpg,http://abs.twimg.com/images/themes/theme14/bg.gif,2011-11-03 02:49:14,"Brooklyn, etc",,False,12846,705,11750,141,23406,True,
7,386507775,U.S. Postal Service,USPS,"The official Twitter account of the United States Postal Service, managed by the Social Media staff at USPS HQ. For customer service, please tweet @USPSHelp.",http://pbs.twimg.com/profile_images/864100712883597313/a1fN6W7g_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2011-10-07 12:11:00,"Washington,  DC",,True,184628,895,25696,856,1914,True,
8,21001599,Brian J. Karem,BrianKarem,"Husband. Father. New grandfather.
""Loud Mouth"" WH reporter. Singer. podcast host. TV. Author. 
""All I want is the truth. Just gimme some truth,"" - John Lennon.",http://pbs.twimg.com/profile_images/1278641401127936000/oadoOwNE_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2009-02-16 16:51:12,Washington D.C.,,True,291498,1431,17263,1866,103697,True,
9,26840840,Alabama Democrats,aldemocrats,The official account for the Alabama Democratic Party. We're building a party for all y'all. Donate here: https://t.co/doxKnqKe0n?,http://pbs.twimg.com/profile_images/1233191689432502272/lM10fWom_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2009-03-26 20:24:57,"Montgomery, AL",,False,23846,1251,11852,298,4033,True,
10,1205226529455632385,The Lincoln Project,ProjectLincoln,"""You cannot escape the responsibility of tomorrow by evading it today.” – Abraham Lincoln",http://pbs.twimg.com/profile_images/1207303270500356097/JpVHUYEE_normal.jpg,,2019-12-12 20:43:08,The United States of America,,False,1688804,291,3556,4033,1361,False,
