,TINFOLEAK Report
,Vicente Aguilera Díaz
,@VAguileraDiaz
,www.isecauditors.com
""
,>>> Date:,2020-07-29
,>>> Time:,00:48
,>>> Analyzed user:,theindecon
,>>> Information:,Friends
""
#,ID,USERNAME,SCREEN NAME,DESCRIPTION,PROFILE IMAGE URL,PROFILE BANNER URL,CREATED AT,LOCATION,TIME_ZONE,GEO ENABLED,FOLLOWERS COUNT,FRIENDS COUNT,STATUSES COUNT,LISTED COUNT,FAVOURITES COUNT,USER VERIFIED,USER LANG
1,13737002,MRCTV,mrctv,Your one-stop-shop for the best conservative videos! We're at the Media Research Center @theMRC.,http://pbs.twimg.com/profile_images/1219696202314395651/Mgkdra_T_normal.png,http://abs.twimg.com/images/themes/theme14/bg.gif,2008-02-20 20:02:12,"Reston, VA",,True,75615,276,29168,498,707,True,
2,285565876,Rallyforlife,theRallyforLife,All Ireland Rally for Life will take place in both Dublin & Belfast annually on different dates. Next Dublin date is 4 July 2020.,http://pbs.twimg.com/profile_images/1179323119925940224/LvSzEJAA_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2011-04-21 11:39:23,#RallyforLife #WeStandforLife,,True,11435,9376,8926,49,4540,False,
3,870262423122583553,Jonathan Wichmann,votewichmann,"Author, Business Owner, Investor, Wisconsin Governor Candidate",http://pbs.twimg.com/profile_images/1251117926528270338/RlkEQGAI_normal.jpg,,2017-06-01 12:55:05,"Milwaukee, Wisconsin",,False,58,94,129,2,98,False,
4,25429371,Katrina Pierson,KatrinaPierson,Sr. Advisor - Trump 2020,http://pbs.twimg.com/profile_images/1252350013486727181/0y3nc-DU_normal.jpg,http://abs.twimg.com/images/themes/theme14/bg.gif,2009-03-20 01:25:06,"Washington, DC",,True,628101,2336,55028,2985,7372,True,
5,231815020,Stacy Washington,StacyOnTheRight,"Host @SIRIUSXMPatriot Sundays 10am ET
Comms - https://t.co/JXNL4N440N Adv Board: #BlackVoicesForTrump, Co-chair @Project21News USAF vet. @2AFDN Awardee",http://pbs.twimg.com/profile_images/1089858969265266688/9BcwmCHT_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2010-12-29 15:02:00,"St. Louis, MO",,False,74368,2702,55782,813,20877,True,
6,109441206,Doug Ray,RWSalt,"I Like People Who Show Faith, Truth, Clear Thinking, Self Discipline,  Personal Responsibility, #MAGA, & A Love For Children & Unborn... I Don't Like Joe Biden.",http://pbs.twimg.com/profile_images/1272737019270053888/Aiom9CXl_normal.jpg,http://abs.twimg.com/images/themes/theme14/bg.gif,2010-01-29 02:08:41,USA,,False,303280,270080,63124,1139,360,False,
7,1199522589573554176,Karli 🇺🇸,KarluskaP,That NY Cackling Conservative sings too! #Trump2020 Mon-Fri scope-6pm est-https://t.co/JOl4gny43i kbq225 https://t.co/yW2Zbn3WOa,http://pbs.twimg.com/profile_images/1286395562703622145/fsMF932X_normal.jpg,,2019-11-27 02:57:42,,,False,150137,17041,27814,405,105350,False,
8,1277394243712057344,chris,chrus32661080,"#Trump2020 conservative, Trump and the 2nd amendment is the only thing preventing a communist takeover of our government.",http://pbs.twimg.com/profile_images/1280014163906084864/nShY02-u_normal.jpg,,2020-06-29 00:11:54,"Detroit, MI",,False,253,550,456,0,967,False,
9,1098091506886471680,Lara Logan,laralogan,"Investigative journalist.Winner of Alfred I duPont–Columbia Uni Silver Baton, multiple Emmys, Edward R. Murrow Awards etc Lara Logan Has No Agenda on Fox Nation",http://pbs.twimg.com/profile_images/1098439547300470784/W65h_0Zf_normal.jpg,,2019-02-20 05:26:31,,,False,157221,128,1225,533,74,True,
10,18379614,Dave Rubin,RubinReport,Don’t Burn This Book is now available! Get a signed copy at link right here...,http://pbs.twimg.com/profile_images/994716153606914048/i6UMX-ie_normal.jpg,http://abs.twimg.com/images/themes/theme14/bg.gif,2008-12-25 21:38:44,Dagobah System,,False,839030,728,82887,3852,28804,True,
