,TINFOLEAK Report
,Vicente Aguilera Díaz
,@VAguileraDiaz
,www.isecauditors.com
""
,>>> Date:,2020-07-27
,>>> Time:,23:47
,>>> Analyzed user:,ty24112
,>>> Information:,Friends
""
#,ID,USERNAME,SCREEN NAME,DESCRIPTION,PROFILE IMAGE URL,PROFILE BANNER URL,CREATED AT,LOCATION,TIME_ZONE,GEO ENABLED,FOLLOWERS COUNT,FRIENDS COUNT,STATUSES COUNT,LISTED COUNT,FAVOURITES COUNT,USER VERIFIED,USER LANG
1,252431377,stephon tuitt,DOCnation_7,Many of life failures are people who did not realize how close they were to success when they gave up. #doittuitt,http://pbs.twimg.com/profile_images/1235608612690485248/9SyJOAYD_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2011-02-15 05:12:18,"Pittsburgh, PA",,True,105458,668,6765,434,280,True,
2,1286075182977884161,🇺🇸❤️,justnatyyyy,proud American 🇺🇸 former liberal,http://pbs.twimg.com/profile_images/1287359492297043968/xMmvfuin_normal.jpg,,2020-07-22 23:06:51,"Massachusetts, USA",,False,10712,975,979,5,453,False,
3,79923701,Lin-Manuel Miranda,Lin_Manuel,https://t.co/03Lu5NoFkR he/him. In The Heights/Moana/Hamilton. Black lives matter. (profile pic by @amyvalhalla),http://pbs.twimg.com/profile_images/1272549131995791367/Cp8Ab2ee_normal.jpg,http://abs.twimg.com/images/themes/theme2/bg.gif,2009-10-05 04:59:07,"Washington Heights, Manhattan",,False,3422806,3578,66175,4,53976,True,
4,57338175,Thomas Sowell,ThomasSowell,"I'm not Thomas Sowell, but I own all of his books and tweet quotes from them. All tweets are direct quotes - @tsowellquotes. Get his latest book below.",http://pbs.twimg.com/profile_images/316502615/sowell2_normal.bmp,http://abs.twimg.com/images/themes/theme1/bg.png,2009-07-16 13:47:55,,,False,614792,30,2393,3291,374,False,
5,1223388165580435457,Hunter Biden,BunterHiden_,My fathers second favorite son.,http://pbs.twimg.com/profile_images/1231241064184414211/ePhHYZBW_normal.jpg,,2020-01-31 23:30:53,,,False,304,130,605,2,513,False,
6,1279258968825622528,Takoda,Takoda74056158,A good fortnite player a faze mew fan and a absorber to,http://pbs.twimg.com/profile_images/1279259148228497408/8ka7LDMr_normal.jpg,,2020-07-04 03:41:40,,,False,8,34,15,0,75,False,
7,195271137,Larry Elder,larryelder,Sage from South Central; Larry Elder Show; https://t.co/FhimaXTCib; (888) 971-SAGE; https://t.co/unavvhKeFl,http://pbs.twimg.com/profile_images/494912342346317824/rbQxobXU_normal.jpeg,http://abs.twimg.com/images/themes/theme1/bg.png,2010-09-26 07:34:31,"L.A., Calif.",,True,837912,100,61305,3110,7583,True,
8,2863488598,Hamilton,HamiltonMusical,"📍 @DisneyPlus, Broadway, London, and on Tour! Coming to LA and Sydney, Australia.",http://pbs.twimg.com/profile_images/1277989982171430914/Oiyyv_7__normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2014-11-06 06:33:27,"226 W 46th St NY, NY 10036",,False,1007552,313,8777,1744,64766,True,
9,3316248835,K-Ron,kron619,Democrat voting for Trump. Tired of this.,http://pbs.twimg.com/profile_images/1273151428371062788/_eRfeCh__normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2015-08-15 19:14:00,"San Diego, CA",,False,30387,836,608,15,989,False,
10,18379614,Dave Rubin,RubinReport,Don’t Burn This Book is now available! Get a signed copy at link right here...,http://pbs.twimg.com/profile_images/994716153606914048/i6UMX-ie_normal.jpg,http://abs.twimg.com/images/themes/theme14/bg.gif,2008-12-25 21:38:44,Dagobah System,,False,837798,730,82858,3845,28790,True,
11,17631608,Kristy,kristy01napier,,http://pbs.twimg.com/profile_images/1287731849201160194/eoI4Bp1U_normal.jpg,http://abs.twimg.com/images/themes/theme14/bg.gif,2008-11-25 21:09:29,"Cleveland Heights, Ohio",,False,728,1217,7838,3,3056,False,
12,825851808861949952,donna ford,lostinnm1,"America 1st FULL STOP
I'm not PC if U don't like shove off",http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,2017-01-29 23:43:09,,,False,842,1003,25007,0,39795,False,
13,1144428163772010496,Lin505,Lin5051,"8 generations my family has lived in the beautiful state of NM. I am proud to be a native New Mexican. I love God, my country, & DJT. #KAG #WWGOWGA 🇺🇸🇺🇸🇺🇸",http://pbs.twimg.com/profile_images/1274713668333125632/AyPSOBmX_normal.jpg,,2019-06-28 02:11:51,"New Mexico, USA",,False,1293,1387,2592,0,6696,False,
14,1205811995477307392,Jinxkee,Jinxkee1,Jill of many trades. Master of some. I probably like/trust my dogs more than you. ❤️ pew pew & bang bang tools. ENTJ & often sardonic. Parler: jinxkee71,http://pbs.twimg.com/profile_images/1274867277242830849/jzvbFgaJ_normal.jpg,,2019-12-14 11:29:30,USA,,False,768,1503,1950,0,77433,False,
15,770781940341288960,Rudy W. Giuliani,RudyGiuliani,Listen to the Common Sense podcast through the link below. 🇺🇸,http://pbs.twimg.com/profile_images/1225153508963487744/vJ3PwX5y_normal.jpg,,2016-08-31 00:35:10,"New York, NY",,True,713487,516,2361,2596,2103,True,
16,2284064586,IndySpanglish,IndySpanglish,GirlDad..Army veteran..enthusiast of all things fisticuffs..first generation 🇨🇺 descent.                   Follow on Parler - IndySpanglish,http://pbs.twimg.com/profile_images/946478633190903808/ddJFX9m0_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2014-01-09 20:13:37,"Indianapolis, IN",,False,28768,413,14435,72,3955,False,
17,16567309,Hulu Support,hulu_support,"Helping Handmaids and Runaways (and everyone else) with all things @hulu. Tweeting from 5am-10pm PT, with chat & phone support available 24/7: https://t.co/GT66weSDwg",http://pbs.twimg.com/profile_images/1235014519992094720/iL9jVxco_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2008-10-02 21:39:03,"Los Angeles, CA",,False,81213,3607,649874,401,17319,True,
18,41648843,Paramount Network,paramountnet,Welcome to the new Paramount Network. Catch up on all your favorite shows on the #ParamountNetwork App.,http://pbs.twimg.com/profile_images/984181812015583232/wio75ZMy_normal.jpg,http://abs.twimg.com/images/themes/theme14/bg.gif,2009-05-21 18:48:20,,,True,204665,797,34822,1713,18884,True,
19,831772091426930688,LegalEagle,LegalEagleDJ,"Member, Smart YouTuber Mafia",http://pbs.twimg.com/profile_images/831773175755239424/8VO9-QTU_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2017-02-15 07:48:14,youtube.com/legaleagle,,False,30767,284,1434,69,318,False,
20,491461409,Chris Loesch,ChrisLoesch,"A man devoted to Jesus, his wife, his children, his family, his friends, his freedom and his country. It/that.",http://pbs.twimg.com/profile_images/1039187573707616263/yie-N0Hy_normal.jpg,http://abs.twimg.com/images/themes/theme9/bg.gif,2012-02-13 17:20:43,Texas,,False,155374,8156,243039,1189,287683,False,
21,583509263,JLynne,JLynne4444,,http://pbs.twimg.com/profile_images/1009928312301314050/aNuE1Orb_normal.jpg,http://abs.twimg.com/images/themes/theme18/bg.gif,2012-05-18 05:56:38,,,False,372,1190,4208,0,12024,False,
22,1260779306008997888,@Qanon NM on Parler🐸🐸🐸⭐⭐⭐,NmQanon,Out of the Matrix,http://pbs.twimg.com/profile_images/1260779629087875074/5jMAlGGo_normal.jpg,,2020-05-14 03:50:02,"Nuevo México, USA",,False,2765,5000,10910,3,32411,False,
23,1120524219736121344,mel 🍓,_melaneee,,http://pbs.twimg.com/profile_images/1278719300354727936/n2WW0Gtv_normal.jpg,,2019-04-23 03:06:07,somewhere w jesse 🥰,,False,10351,850,4480,5,3203,False,
24,41001412,Chief Carmen Best,carmenbest,"Personal/professional Twitter account of Carmen Best, Chief of the Seattle Police Department.",http://pbs.twimg.com/profile_images/947686512203669504/WGoodAuR_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2009-05-18 23:40:39,"Seattle, WA",,True,15836,573,2387,140,2099,True,
25,994795238144258049,Thomas Campbell 🇺🇸🇺🇸,ThomasC11245387,"Car Dealer, stock investment, real estate investor. poker player, father, Not Single, NOT A DATING SITE Proud Texan #MAGA #trump2020 #KAG2020 #MAGA2020",http://pbs.twimg.com/profile_images/1279048774250307587/gAkhSDE0_normal.jpg,,2018-05-11 04:24:01,"Fort Worth, TX",,True,17117,9208,1368,3,1743,False,
26,973684455725350915,Parler,parler_app,𝘚𝘰𝘤𝘪𝘢𝘭 𝘕𝘦𝘵𝘸𝘰𝘳𝘬𝘪𝘯𝘨 𝘗𝘭𝘢𝘵𝘧𝘰𝘳𝘮.𝘞𝘩𝘦𝘳𝘦 𝘵𝘩𝘦 𝘱𝘰𝘸𝘦𝘳 𝘳𝘦𝘴𝘪𝘥𝘦𝘴 𝘪𝘯 𝘵𝘩𝘦 𝘱𝘦𝘰𝘱𝘭𝘦.,http://pbs.twimg.com/profile_images/1281604657501044739/_E6qsMNJ_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2018-03-13 22:17:19,United States,,False,144970,1,80,177,1151,False,
27,1465196934,NM Dept. of Health,NMDOH,"Our mission: promote health and wellness, improve health outcomes, and assure safety net services for all people in New Mexico.",http://pbs.twimg.com/profile_images/1014144543137021958/cwj0c56V_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2013-05-28 17:17:08,"Nuevo México, USA",,False,8136,1962,6278,197,1783,False,
28,16869718,John Rich,johnrich,1/2 of @bigandrich and owner of all things @redneckriviera We support @foldsofhonor @stjude #DRINKAMERICAN Love my fans! -JR,http://pbs.twimg.com/profile_images/1257067361435291650/svf3umvp_normal.jpg,http://abs.twimg.com/images/themes/theme9/bg.gif,2008-10-20 16:22:15,"Nashville, TN",,False,225798,537,16724,1787,24,True,
29,63769373,Travis Tritt,Travistritt,"GRAMMY award winning Singer, Songwriter, Musician & Multi Platinum Recording Artist. Latest live album “Homegrown” available now at AppleMusic & my website.",http://pbs.twimg.com/profile_images/1103372205742800896/xBAK9HKP_normal.png,http://abs.twimg.com/images/themes/theme15/bg.png,2009-08-07 16:43:55,"Hiram, Georgia",,False,116836,2594,24947,391,100555,True,
30,370597426,BiffaPlays :-),Biffa2001,"I love Tea. Husband, Father, Content Creator. Strategy, Survival & City/Base Builder games & anything Indie :-)  https://t.co/0xOa6AOvUv",http://pbs.twimg.com/profile_images/952949668392128514/k2sm1lSr_normal.jpg,http://abs.twimg.com/images/themes/theme2/bg.gif,2011-09-09 09:15:50,UK,,False,39857,722,30882,206,3848,False,
31,118756393,John Bolton,AmbJohnBolton,Former Assistant to the President for National Security Affairs (NSA),http://pbs.twimg.com/profile_images/710587003813957632/_JR9ALxD_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2010-03-01 17:18:27,"Washington, DC",,True,930046,1197,5157,5567,389,True,
32,764259866064158720,Melinda Rivera,MelindaAnnRive,"Founder of #newmexit, Proud New Mexican 💛❤Blessed Wife, Mom and Grandmother ❤ PROUD AMERICAN  🇺🇸🇺🇸 #MAGA
 Podcast Show- https://t.co/HtLpeou9CU",http://pbs.twimg.com/profile_images/1276132782440419328/4ws6gY4y_normal.jpg,,2016-08-13 00:38:46,,,False,5546,4870,6866,0,11976,False,
33,189464282,Ashleeeeee,AshPac21,Trump supporter 2nd amendment supporter 🇺🇸land of the FREE🇺🇸 America MAGA2020 WWG1WGA,http://pbs.twimg.com/profile_images/1256938771972407296/TEh_XOSI_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2010-09-11 09:53:40,,,False,132,182,690,0,1540,False,
34,606944382,New Mexico In Depth,NMInDepth,"A New Mexico news organization dedicated to fostering, promoting and publishing journalism in the public interest. Also, @trip_44 or @m_ruth",http://pbs.twimg.com/profile_images/2655376569/4095ac9fe39779c93eadb954bd1d8b54_normal.jpeg,http://abs.twimg.com/images/themes/theme1/bg.png,2012-06-13 03:48:18,,,True,6733,58,1748,193,255,False,
35,166414119,Elisa Martinez,elisa1121,"Former GOP U.S. Senate candidate, founder of New Mexico Alliance for Life, Catholic, pro 2A, Constitutionalist, pro-life, Diné, Zuni, Hispanic. New Mexican.",http://pbs.twimg.com/profile_images/1189709586418348033/Tsf2wVG5_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2010-07-14 02:46:12,"Albuquerque, NM",,True,2504,827,853,21,3171,True,
36,17087924,Hutch (Starsky has been 'retired' - permanently),jchutch2,Cybersecurity Engineer👨🏻‍💻|LEO🚔|Veteran🎖️|Constitutional Conservative📜|Married|2A|MAGA|#BlueLine,http://pbs.twimg.com/profile_images/1244862775849095168/zQmC6PhW_normal.jpg,http://abs.twimg.com/images/themes/theme9/bg.gif,2008-10-31 16:50:52,"South Carolina, USA",,False,16877,17056,31379,2,26523,False,
37,21023681,Dan Abrams,danabrams,Chief Legal Analyst @ABC; Host  @AETV; Host @SiriusXM POTUS Ch. 124 2p (ET); Founder @Mediaite @LawCrimeNetwork,http://pbs.twimg.com/profile_images/1090742278/DA2_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2009-02-16 20:32:06,"New York, NY",,True,321389,494,11279,1904,133,True,
