,TINFOLEAK Report
,Vicente Aguilera Díaz
,@VAguileraDiaz
,www.isecauditors.com
""
,>>> Date:,2020-07-09
,>>> Time:,02:27
,>>> Analyzed user:,JuanCTorres14
,>>> Information:,Followers
""
#,ID,USERNAME,SCREEN NAME,DESCRIPTION,PROFILE IMAGE URL,PROFILE BANNER URL,CREATED AT,LOCATION,TIME_ZONE,GEO ENABLED,FOLLOWERS COUNT,FRIENDS COUNT,STATUSES COUNT,LISTED COUNT,FAVOURITES COUNT,USER VERIFIED,USER LANG
1,1012418444103503873,Ante Todo Colombia,antetodoco,📜  1er movimiento ciudadano digital del país.  📲,http://pbs.twimg.com/profile_images/1087388044406214658/H0O4ptna_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2018-06-28 19:32:21,Colombia,,True,13629,4130,4642,13,2733,False,
2,1276195160938946561,Yaneth reyes,Yaneth25reyes,Hola,http://pbs.twimg.com/profile_images/1276195635826475008/9lF7mrti_normal.jpg,,2020-06-25 16:47:04,,,False,63,154,192,0,364,False,
3,1274386879635435522,Paola Urueña,paolauruenag,Abogada @URosario Magister Avanzado en Ciencias Jurídicas (U. Pompeu Fabra) Asesora en Asuntos de Género y Equidad. Fundadora de la Red de Abogadas Rosaristas,http://pbs.twimg.com/profile_images/1274484948427255809/C9kEx4n9_normal.jpg,,2020-06-20 17:01:35,Bogotá,,False,54,172,31,1,53,False,
4,1959197545,Melissa Torres,MelissaTores89,,http://pbs.twimg.com/profile_images/1248240645392584705/rCnEmydv_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2013-10-13 17:59:37,,,False,56,289,141,0,288,False,
5,353829541,Rodríguez Cepeda,Rocedial23,⚜️,http://pbs.twimg.com/profile_images/1277450643121287171/j5qQUtdw_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2011-08-12 18:08:27,Bogotá,,True,371,1682,1320,3,2618,False,
6,1263541024779091968,@johntorres,johntorres__,,http://pbs.twimg.com/profile_images/1263544888316047360/U5EDJ-oi_normal.jpg,,2020-05-21 18:44:02,,,False,3,40,22,0,10,False,
7,773702504429289472,Grupo_GEMMA,grupogemma,"Grupo de investigación en Georrecursos, Minería y Medio Ambiente (GEMMA), adscrito a la Facultad de Minas de la UNAL",http://pbs.twimg.com/profile_images/773703732953509888/JpyNcPPm_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2016-09-08 02:00:26,"Medellín, Colombia",,False,1151,3695,956,4,512,False,
8,1258954762898284545,Emprende con Johnnatan🤑🚀,ConJohnnatan,"Gana #dinero sin hacer nada ni invertir nada.

Esta aplicación al descargarla te paga y solo por tenerla instalada también te paga.

Pruébala ⬇️👇⬇️",http://pbs.twimg.com/profile_images/1258956044044251137/C8jDGbNO_normal.jpg,,2020-05-09 02:59:51,CLICK 👉👉,,False,21,389,14,0,1,False,
9,1123468097371947010,Nikolay Piedrahita,Nikolayp16,Arquitecto. Especialista en Gerencia de Obra. Magister en Energías Renovables,http://pbs.twimg.com/profile_images/1241232684933959680/_PeA2Azp_normal.jpg,,2019-05-01 06:04:02,,,False,14,689,49,0,4,False,
10,873572849860083716,Miguel Serrano,_m_serrano,,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,2017-06-10 16:09:32,,,False,1,19,4,0,2,False,
