,TINFOLEAK Report
,Vicente Aguilera Díaz
,@VAguileraDiaz
,www.isecauditors.com
""
,>>> Date:,2020-07-28
,>>> Time:,19:44
,>>> Analyzed user:,DanaManchild
,>>> Information:,Followers
""
#,ID,USERNAME,SCREEN NAME,DESCRIPTION,PROFILE IMAGE URL,PROFILE BANNER URL,CREATED AT,LOCATION,TIME_ZONE,GEO ENABLED,FOLLOWERS COUNT,FRIENDS COUNT,STATUSES COUNT,LISTED COUNT,FAVOURITES COUNT,USER VERIFIED,USER LANG
1,1282885021133660161,keviarsound,keviarsound,Think for yourself. Don't be a sheeple. LOVE wins. SOURCE wins. Your hate will not survive the NEW EARTH. We've past the marker brother and sisters. I love you.,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,2020-07-14 03:51:42,,,False,109,414,363,0,3179,False,
2,1263606973926264832,American Patriot,churchill_ld,Conservative Proud American Fighting to restore the values that made America great. Time to take back America from the left! #Trump2020 #MAGA #KAG TRUTH! IFBAP,http://pbs.twimg.com/profile_images/1278088925530091521/U9Md7pkK_normal.jpg,,2020-05-21 23:06:06,,,False,2254,2795,766,0,781,False,
3,2664197058,Angelo🇮🇹🇺🇸,arenafirearms,🇮🇹🇺🇸I'll fiercely defend my family and my country. Tired of PC and double standards. #TEAMMAGA #KAG #2A #Trump #Trump2020 #Patriot #FBTS #NRA #MAGA,http://pbs.twimg.com/profile_images/1164732259364040705/TSPPZbsS_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2014-07-20 22:46:43,,,False,23298,23465,49579,9,12116,False,
4,2467054808,george carrasco,georgecarrasc0,"#MAGA.  #2A,  #Trumptrain, #Patriot, #QArmy, #conservative, #AmericaFirst #DemandvoterIDlaws",http://pbs.twimg.com/profile_images/1281794370274881536/LJ2P7wCA_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2014-04-28 01:53:29,"California, USA",,False,1219,3179,1567,0,24274,False,
5,1243660854618439682,Andrea Martino,AndreaMartino89,"🐕Animal lover ❤️ Freeland Engineer,Love 📚...#FREESPIRIT. God bless America 🇺🇸 #Trump2020",http://pbs.twimg.com/profile_images/1283838222490112001/4B0afTjB_normal.jpg,,2020-03-27 22:07:17,"Texas, USA",,False,12,58,8,0,8,False,
6,220116060,Bryleigh Wyatt,P3rF3tC10N,#LSU #patriots #RaptureReady #lovinglife #TRUMP2020LANDSLIDE #AmericaFirst #buildthewall,http://pbs.twimg.com/profile_images/1284210234966396928/XhSTpdYD_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2010-11-26 20:46:30,"West Covina, California",,False,101,189,11,0,418,False,
7,1238381692991102976,Sandra🇺🇸👁⭐️⭐️⭐️👮‍♂️🦁,FierceLioness,"🇺🇸#MAGA🇺🇸 #Flag; 🇺🇸#WWG1WGA; 🇺🇸Jesus is Lord; God, Country & Family; Conservative #TakeTheOath",http://pbs.twimg.com/profile_images/1284897895754285056/s5aGo2bn_normal.jpg,,2020-03-13 08:29:52,,,False,5801,5209,3051,2,5511,False,
8,1256811573278015490,ArkansasSass,ColorHeather,Arkansan living in Texas. God Bless America. Ask me about Interior Design!! IFBAP #Trump2020 #SaveTheChildren #PatriotArmy #WakeupAmerica 💥🇺🇸💥🇺🇸#MAGA2020,http://pbs.twimg.com/profile_images/1256811942607572993/4a96IjVu_normal.jpg,,2020-05-03 05:03:57,Texas,,False,1721,2088,2351,2,3406,False,
9,1263650657589956614,♡ Patriot Princess ♡,_ChildOfChrist,I love my country and my Lord and Savior. I stand for what I believe in. Following back all Patriots. 😊🇺🇲 ✝️ #MAGA #GodWins,http://pbs.twimg.com/profile_images/1284016165250113536/KoCGHho9_normal.jpg,,2020-05-22 01:59:39,,,False,183,176,229,0,2135,False,
10,1229389458711154688,USAPATRIOT4MAGA,USAPATRIOT4MAGA,#THEGREATAWAKENING #17ANON #DondeVamos1VamosTodos #TRUMP2020🇺🇸🇺🇸🇺🇸#MAGA,http://pbs.twimg.com/profile_images/1287601109972987905/mviTpXZr_normal.jpg,,2020-02-17 12:57:50,,,True,1700,2173,4843,2,6560,False,
