,TINFOLEAK Report
,Vicente Aguilera Díaz
,@VAguileraDiaz
,www.isecauditors.com
""
,>>> Date:,2020-07-28
,>>> Time:,15:40
,>>> Analyzed user:,PaulaFeese
,>>> Information:,Friends
""
#,ID,USERNAME,SCREEN NAME,DESCRIPTION,PROFILE IMAGE URL,PROFILE BANNER URL,CREATED AT,LOCATION,TIME_ZONE,GEO ENABLED,FOLLOWERS COUNT,FRIENDS COUNT,STATUSES COUNT,LISTED COUNT,FAVOURITES COUNT,USER VERIFIED,USER LANG
1,788115847730442241,SusieQ,decerbosusanna2,"Wife, mother, dog lover, Respiratory Therapist #MAGA all the way! Conservative and love my President. #Trump 🇺🇸🇺🇸🇺🇸",http://pbs.twimg.com/profile_images/885641159099334657/yzzYd6PX_normal.jpg,,2016-10-17 20:33:55,"New Jersey, USA",,False,3465,4878,51076,5,44010,False,
2,2388413501,Less Kay,LesskayR,Forensic chic ☠ Army Veteran 🇺🇲 #MAGA,http://pbs.twimg.com/profile_images/775386460920872960/Z9-hKLcV_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2014-03-06 13:47:53,,,True,19459,3224,731,6,4121,False,
3,90480218,Richard Grenell,RichardGrenell,I’m stronger after cancer. my dog runs my life. imperfect follower of Christ. https://t.co/danITSml3j,http://pbs.twimg.com/profile_images/1044555074599571458/wAO827Jc_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2009-11-16 20:46:59,"LA, Palm Springs (and Berlin)",,True,487595,2633,6571,2253,23825,True,
4,823367015830323201,Dan Scavino Jr.🇺🇸,Scavino45,Official White House Twitter. Personal Twitter: @DanScavino,http://pbs.twimg.com/profile_images/1180025841499148289/nXj4vRBe_normal.jpg,,2017-01-23 03:09:28,1600 Pennsylvania Avenue ,,True,712844,990,6503,2620,1024,True,
5,988573326376427520,Secretary Pompeo,SecPompeo,"70th U.S. Secretary of @StateDept, working alongside the world’s finest diplomatic corps. Husband, father, Army veteran, and proud Kansan.",http://pbs.twimg.com/profile_images/1014454396522934273/w_96hmja_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2018-04-24 00:20:22,,,False,2229069,50,2868,5275,10,True,
6,1163992520252153857,Mike Pompeo,mikepompeo,"Personal account. Currently serving as the 70th U.S. Secretary of State. For official updates, see @SecPompeo. Christian, husband, father, proud American 🇺🇸",http://pbs.twimg.com/profile_images/1205449744530726912/WIx-Tj8T_normal.jpg,,2019-08-21 01:53:49,,,True,161064,195,220,446,114,True,
7,835729260,Gary Bernstein,1GaryBernstein,#ArmyForTrump #MAGA #ScottBaiosArmy #KAG #MAGABUSMUSTS TVProducer Writer. Hall of Fame inductee 6 # 1 TV Shows Produced Mike Reagan’s TV Show MLK3s too,http://pbs.twimg.com/profile_images/1097980934199042049/F2Wlx_m4_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2012-09-20 14:53:32,Viva Las Vegas and Cali,,False,66486,72939,112451,14,68225,False,
8,447200783,𝔾 ᵗʰᵉ🪐ᴿᴵᴳᴵᴺᴬᴸ💫,G_TheOriginal,"Ｐ♡∫!✞!✌️!✞y🎈 

𝕮𝖔𝖓𝖘𝖊𝖗𝖛𝖆𝖙𝖎𝖛𝖊ᴹᴬᴳᴬ 💯 

Tɦαɳƙs ʄoɾ tɦe ɾetωeets❣️ 

Ɩ ʄoƖƖoω ɓαcƙ 🇺🇸 

👉 I'm following everyone back, so hang on ~ God bless!",http://pbs.twimg.com/profile_images/1279268206264254464/NUY_3hZl_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2011-12-26 16:32:18,So Cal 🌴,,False,164066,157658,28762,45,136823,False,
9,1214919170988621824,Hlodvir,hlodvir,11th Jarl of Orkney,http://pbs.twimg.com/profile_images/1216391152242434049/wD_V3HKb_normal.jpg,,2020-01-08 14:38:13,,,False,19,100,1325,0,3265,False,
10,994795238144258049,Thomas Campbell 🇺🇸🇺🇸,ThomasC11245387,"Car Dealer, stock investment, real estate investor. poker player, father, Not Single, NOT A DATING SITE Proud Texan #MAGA #trump2020 #KAG2020 #MAGA2020",http://pbs.twimg.com/profile_images/1279048774250307587/gAkhSDE0_normal.jpg,,2018-05-11 04:24:01,"Fort Worth, TX",,True,17119,9225,1375,2,1681,False,
11,17475575,Best Buy,BestBuy,Let’s talk about what’s possible. Share your best tech with the world using @BestBuy.   Contact @BestBuySupport with customer service questions.,http://pbs.twimg.com/profile_images/994249554525499392/-FXXe19c_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2008-11-19 00:23:16,"Richfield, MN",,True,915121,85,56222,6082,27356,True,
12,1217383148,TrumpGirl ❤️❤️,terilovestrump,Republican fed up with all the bullshit! I support Donald Trump! ❤️🇺🇸 #MAGA 🇺🇸#Trump2020 #KAG2020 ❤️#NRA #Trump2020Landslide #bluelivesmatter💙,http://pbs.twimg.com/profile_images/1287975244418826241/Yseqvt1__normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2013-02-25 05:30:22,United States,,True,30689,11839,6637,28,15620,False,
13,5509762,Sarah Huckabee Sanders,SarahHuckabee,Christian. Wife. Mom to three. Former Press Sec for @realdonaldtrump. @foxnews contributor. Presidential appointee @fulbrightboard. Traveler. Arkansan.,http://pbs.twimg.com/profile_images/1144998720766959623/xaD1-IHV_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2007-04-25 22:00:29,"Little Rock, AR",,True,628022,2727,4043,2029,970,True,
14,1080894931311431682,Rep. Dan Crenshaw,RepDanCrenshaw,Proudly representing Texas's Second Congressional District,http://pbs.twimg.com/profile_images/1094614383232249856/BHAwJUfL_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2019-01-03 18:33:28,"Houston, TX",,False,643931,134,930,1373,9,True,
15,930552552302792705,Dan Crenshaw,DanCrenshawTX,"Dan Crenshaw, Congressman, Lieutenant Commander (Ret), a former Navy SEAL.",http://pbs.twimg.com/profile_images/1047938321186480128/GF8q1URJ_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2017-11-14 21:46:32,"Houston, TX",,False,982024,824,1767,2142,1158,True,
16,973684455725350915,Parler,parler_app,𝘚𝘰𝘤𝘪𝘢𝘭 𝘕𝘦𝘵𝘸𝘰𝘳𝘬𝘪𝘯𝘨 𝘗𝘭𝘢𝘵𝘧𝘰𝘳𝘮.𝘞𝘩𝘦𝘳𝘦 𝘵𝘩𝘦 𝘱𝘰𝘸𝘦𝘳 𝘳𝘦𝘴𝘪𝘥𝘦𝘴 𝘪𝘯 𝘵𝘩𝘦 𝘱𝘦𝘰𝘱𝘭𝘦.,http://pbs.twimg.com/profile_images/1281604657501044739/_E6qsMNJ_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2018-03-13 22:17:19,United States,,False,145068,1,80,176,1151,False,
17,257246987,bread perez,bradxperez,"I do stuff, sometimes I don't tho | everywhere is my @livingroomdf | @bradperezracing",http://pbs.twimg.com/profile_images/1287871297603739648/6q2s2VwC_normal.jpg,http://abs.twimg.com/images/themes/theme14/bg.gif,2011-02-25 01:21:11,Broward County ➡️ Charlotte,,True,2351,983,145193,35,128223,False,
18,1210971632832925696,Marina Finnagan,FinnaganMarina,A Normal Trump Supporter...Please follow my backup @MarinaFinnagan....Some of my tweets are JOKES it’s up to you to determine what’s reality,http://pbs.twimg.com/profile_images/1212097670686420994/Wpf6lfDz_normal.jpg,,2019-12-28 17:12:15,,,False,10217,10975,37476,5,40134,False,
19,2796960419,Latin Trumper 🇺🇸🇨🇺🇵🇷🇪🇸,RealDuckies,‘I told you Fascism would come in the name of Liberalism’: R. Reagan from Beyond #MAGA #2A #BuildThatWall #DrainTheSwamp #Trump2020,http://pbs.twimg.com/profile_images/986067337387413504/K9x_iopP_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2014-10-01 02:43:37,United States of America,,True,12128,11154,64908,8,114165,False,
20,271955792,Jess,jessycadoeshair,Daughter to the King of Kings. Aunt to the best niece and nephew. Traveler. Hallmarkie. Elvis. Christmas 🎄,http://pbs.twimg.com/profile_images/1277241683051188225/0SmInAr5_normal.jpg,http://abs.twimg.com/images/themes/theme8/bg.gif,2011-03-25 14:30:48,"Indiana, USA",,True,198,264,2652,0,1417,False,
21,2438831503,Chanel Rion OAN,ChanelRion,@OANN Chief White House Correspondent | https://t.co/Ul5TsBCJJD | https://t.co/68u4uYyM5i | Chanel's OAN Reports here: https://t.co/NLLGchnU2s,http://pbs.twimg.com/profile_images/1148367530437808135/e4LVGJeT_normal.png,http://abs.twimg.com/images/themes/theme1/bg.png,2014-04-11 17:19:00,"Washington, DC 🇺🇸🇰🇷",,True,362369,19821,20426,1059,11053,True,
22,3498448812,Former Democrats for Trump,YoungDems4Trump,👔Business Owner. 🏗️Builder.🦈Shark Diver. Endorsed by @GenFlynn🎖️ thanked by President @realDonaldTrump🇺🇸himself for bringing young Democrats to the truth.,http://pbs.twimg.com/profile_images/1283494892727963648/tzblvJoV_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2015-09-09 00:24:06,#YoungDemocratsForTrump,,True,206720,865,19425,626,16487,False,
23,33908800,Kevin Corke,kevincorke,White House Correspondent @FoxNews @harvardalumni @cubuffs formerly @nbcnews @espn KAΨ♦️     Fiat justitia ruat caelum Likes/RTs ≠ endorsements,http://pbs.twimg.com/profile_images/1282885050644738048/a8mKYtoI_normal.jpg,http://abs.twimg.com/images/themes/theme15/bg.png,2009-04-21 13:51:33,"Washington, D.C.",,False,123724,33812,14756,863,222204,True,
24,146303896,Philip Nez 🇺🇸🚔🗽🍩,PatrolBeat834,CPD 8th District Beat 0834 I’m the Po Po. Back The Blue. Pro2A. Breaking all popo social media policies. Trump Supporter. Navajo. #NativeAmerican #Trump2020,http://pbs.twimg.com/profile_images/1207872673780338688/byk2qKOJ_normal.jpg,http://abs.twimg.com/images/themes/theme14/bg.gif,2010-05-21 03:11:48,"Chicago, IL",,True,4526,5001,1022,4,22177,False,
25,28998045,"Conservative, 4 Trump in 2020 #MAGA",G_Man01,"MAGA
Hold the mainstream media accountable for #PromotingRacism, #Bias and #FakeNews!
Parler handle, @OneCupOfCoffee",http://pbs.twimg.com/profile_images/1282122713369378819/e0xJg3VM_normal.jpg,http://abs.twimg.com/images/themes/theme10/bg.gif,2009-04-05 14:50:39,Crystal River Florida,,False,1027,1308,4367,0,2549,False,
26,35721724,Coach T-Will,T_WILL4REAL,SERVE as Auburn Linebackers Coach/Co-DC/Recruiting Coordinator. HAPPY TO BE A DOOR HOLDER. #WarEagle,http://pbs.twimg.com/profile_images/817452323840688129/pEomdD7f_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2009-04-27 11:40:48,Auburn,,False,28813,1966,45929,223,4624,True,
27,91390383,Sofia Vergara,SofiaVergara,"Colombian, Mother, Wife, Actor, Entepreneur, cake lover 🍰 and judge on America’s Got Talent",http://pbs.twimg.com/profile_images/1266466408818339840/enKa2TfW_normal.jpg,http://abs.twimg.com/images/themes/theme14/bg.gif,2009-11-20 17:55:25,,,False,8797245,100,8696,16102,1666,True,
28,16305370,terry crews,terrycrews,"Lover to my wife, father to my children, friend to my friends, and servant to my Lord and Savior Jesus Christ.",http://pbs.twimg.com/profile_images/1109681981510475776/pIEwQE6e_normal.jpg,http://abs.twimg.com/images/themes/theme9/bg.gif,2008-09-16 01:56:01,,,True,1760434,1901,24505,2992,22363,True,
29,19571299,Nick Cannon,NickCannon,Listen live to #NickCannonRadio from 6am-12pm PST on @Power106LA The #1 Nationwide Syndicated Radio show! @CannonMornings,http://pbs.twimg.com/profile_images/1257814415006547969/ji-xJQHq_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2009-01-27 01:44:34,,,True,4833883,5175,26666,11947,402,True,
30,53238154,Howie Mandel,howiemandel,"My name is Howie Mandel, I like to be known as the guy that smells nice.",http://pbs.twimg.com/profile_images/1162608496166092800/2RdGbnHx_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2009-07-03 00:24:29,,,True,821836,12352,27453,0,8031,True,
31,28204769,America's Got Talent,AGT,"✨ Life, liberty and the pursuit of talent. ✨ Watch new episodes of #AGT TUESDAYS at 8/7c on @NBC. Streaming the next day on @PeacockTV.",http://pbs.twimg.com/profile_images/1255943167628607489/yXp6UIyU_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2009-04-01 21:46:39,,,True,873864,3642,47234,1869,15071,True,
32,1258589649074872321,BrokenRootsMusic,BrokenRootsMus1,,http://pbs.twimg.com/profile_images/1266283102986334208/efuR5pu5_normal.jpg,,2020-05-08 02:49:11,,,False,533,29,189,4,241,False,
33,965643050906279938,garyallen786,garyallen786,Love the outdoors and all that goes with it. 1st/2nd Amendment supporter! Married and of the Christian Faith..🇺🇸🇺🇸🇺🇸GO ARMY MAGA WDE!,http://pbs.twimg.com/profile_images/1145151499267391489/ZsDVuyNA_normal.png,,2018-02-19 17:43:38,USA,,False,2379,4925,118,0,2777,False,
