,TINFOLEAK Report
,Vicente Aguilera Díaz
,@VAguileraDiaz
,www.isecauditors.com
""
,>>> Date:,2020-07-28
,>>> Time:,17:23
,>>> Analyzed user:,VOCRadioRobDoc
,>>> Information:,Followers
""
#,ID,USERNAME,SCREEN NAME,DESCRIPTION,PROFILE IMAGE URL,PROFILE BANNER URL,CREATED AT,LOCATION,TIME_ZONE,GEO ENABLED,FOLLOWERS COUNT,FRIENDS COUNT,STATUSES COUNT,LISTED COUNT,FAVOURITES COUNT,USER VERIFIED,USER LANG
1,131258289,JNo 🇺🇸❤🙏 #TRUMP2020,alpacamom80,"Proud wife, mom, and patriot.🇺🇸#2A🇺🇸#1A #FeelingsAreNotFacts 🇺🇸 #WWG1WGA 🇺🇸 #TRUMP2Q2Q 🇺🇸 #DRAINtheSWAMP 🇺🇸  TRUMP2020NowMoreThanEver 🇺🇸",http://pbs.twimg.com/profile_images/1267753924251058176/IfOpTZ9Y_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2010-04-09 19:07:30,"🇺🇸🍑 Georgia, USA 🍑🇺🇸",,False,3176,4689,6480,4,15861,False,
2,1251680966101340162,Deplorable Asian,GracieBang22,I'm Asian with a White privileged dog. We love the Orange Man!!!  🇺🇸 #AsiansForTrump! 🇺🇸 #DogsForTrump!! 🇺🇸 #MAGA,http://pbs.twimg.com/profile_images/1269989914776670208/vdFvVgKr_normal.jpg,,2020-04-19 01:16:24,"Pittsburgh, PA",,False,1743,2571,1090,0,4967,False,
3,48566603,Loxodonta solitarius,Loxodonta_s,"God, love, kindness, charity, civility, humility, patience and humor help. † Catholic. Christian. † Conservative Reagan Republican. Disabled, very old man.",http://pbs.twimg.com/profile_images/549988204892274689/cS6YOXxL_normal.png,http://abs.twimg.com/images/themes/theme14/bg.gif,2009-06-19 01:35:21,,,False,10827,10050,109463,413,0,False,
4,826599548206198784,RTCley,RTCley,"Proud Conservative American. U.S. Army Retired
Roll Tide",http://pbs.twimg.com/profile_images/1278145695086604291/_u9X_sZP_normal.jpg,,2017-02-01 01:14:24,United States,,False,636,1647,74,0,124,False,
5,1226032670532132865,MrSmith,MrSmithOriginal,"A real nobody
#christian
#patriot
#musician
#artist
“Those people who think they know everything are a great annoyance to those of us who do.”

― Isaac Asimov",http://pbs.twimg.com/profile_images/1226034570753167360/jXof4H5m_normal.jpg,,2020-02-08 06:39:23,The United States of America,,False,1974,4614,7779,1,8092,False,
6,1275869287144542208,Nina Varela,NinaVarela18,"USAF, grandma of 4, retired postal worker",http://pbs.twimg.com/profile_images/1275869876620365826/2Mli6TVx_normal.jpg,,2020-06-24 19:12:30,"Victorville, CA",,False,289,604,3363,1,2238,False,
7,1287184386400702465,christine B Mays,christineBMays1,#MAGA #Trump2020,http://pbs.twimg.com/profile_images/1287186772116615178/gth8s02P_normal.jpg,,2020-07-26 00:34:24,Pennsylvaina Lancaster ,,False,23,427,12,0,195,False,
8,1200922307398717440,Dee Dee 311,Lilmsdangrus311,,http://pbs.twimg.com/profile_images/1242448684807344130/YekowvjX_normal.jpg,,2019-11-30 23:40:08,,,False,2065,4225,22537,1,34802,False,
9,1281235830233858048,Samuel Revere,RevereSamuel,"Patriot. Businessman. Father. Digital Soldier. Quo imus ut omnes unum sumus. 
@samrevere2020 on Parler.",http://pbs.twimg.com/profile_images/1281236170538717184/oPPNYvhJ_normal.jpg,,2020-07-09 14:37:13,,,False,846,1485,713,0,840,False,
10,2934171499,I❤️OurPresident,CW2IsForming,I love our President and 100% support his agenda.,http://pbs.twimg.com/profile_images/962467753096634369/A7V1kHlJ_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2014-12-18 00:54:40,"Tennessee, USA",,False,2357,4878,23640,14,23692,False,
