,TINFOLEAK Report
,Vicente Aguilera Díaz
,@VAguileraDiaz
,www.isecauditors.com
""
,>>> Date:,2020-07-28
,>>> Time:,13:44
,>>> Analyzed user:,ZeroRKD
,>>> Information:,Membership Lists
""
#,ID,LIST NAME,LIST DESCRIPTION,LIST MEMBER COUNT,LIST SUBSCRIBER COUNT,LIST URI,USER SCREEN NAME,USER CREATED AT,USER NAME,USER DESCRIPTION,USER FOLLOWERS,USER FRIENDS
1,1255123623121162247,COVID truthers,Research/book project,326,7,/mikeingram00/lists/covid-truthers,mikeingram00,Sat Feb 18 20:41:14 +0000 2012,maybe: Mike Ingram,"Writer, professor, editor @barrelhouse. Co-host of weekly @Book_Fight podcast. Nap enthusiast.",2265,806
2,1060454659016540165,"Bots, fools and shills.","A list of accounts displaying bot like behaviour, being foolish or shilling. All muted immediately",766,1,/bmewelshy/lists/bots-fools-and-shills,bmewelshy,Fri Aug 28 21:14:33 +0000 2009,Ben,"Pug owner, logistics data analyst, boardgamer and Swansea boy. I mute I don’t block save for DHOTA SHIELD total life saver.",141,416
3,809070522290028544,Thanks,,3751,31,/AuthorAprilK/lists/thanks,AuthorAprilK,Mon Sep 22 20:10:25 +0000 2008,April Kelly,"Smile Maker, Ambitious & Blessed!",1028,1180
4,770962325130080256,Change Leaders,,4372,30,/eonderickharvey/lists/change-leaders,eonderickharvey,Mon Apr 05 15:41:19 +0000 2010,Edith Onderick-Harvey,Author. Advisor. Consultant. Speaker. Organization Designer. Mom. Blogger. Working with clients to ride the change wave. Followed by @JohnCMaxwell @TedCoine,1231,910
5,768539385411280897,Inspiration Quotes,,4006,64,/within_quotes/lists/inspiration-quotes,within_quotes,Thu Dec 11 10:12:56 +0000 2014,Within Quotes,#Quote #Motivation #Inspiration #Leadership #Life #Love #Friendship #Philosophy #Words #Wisdom #Business #Success #Quotation #QOTD,7168,69
6,761398595455160320,Great Quoters,,2238,43,/Imported_Fun/lists/great-quoters,Imported_Fun,Fri Nov 21 07:46:17 +0000 2014,✨ Inspire Them...✨,"Inspiring creativity and free thinking, one child at a time, with award-winning STEMed activities and Free DIY classes. Curator of  #InspireThemRetweetTuesday",115504,111978
7,727525351308533762,iOSDev,,4496,89,/Kai_Schaefer/lists/iosdev,Kai_Schaefer,Tue Oct 22 20:01:50 +0000 2013,Kai Schäfer ©,iOS Developer @aoepeople | BBQ Lover | Father | Full Beard Wearer | https://t.co/Q4FvXl4AMc   BBQ and More https://t.co/CDraYAaxSf,462,734
8,752481944680730624,Dev Android,,3940,38,/JGabrielFreitas/lists/dev-android,JGabrielFreitas,Wed Mar 26 02:52:12 +0000 2014,João de Freitas,software engineer @ @cora_bank,167,516
9,704300571906277376,androiddev,,4193,41,/MyWatchLondon/lists/androiddev,MyWatchLondon,Tue May 12 08:46:00 +0000 2015,MyWatchLondon,,329,1
10,747125049497370624,Healthcare Tweets,,4118,37,/theUXblog/lists/healthcare-tweets,theUXblog,Sat Apr 02 10:39:13 +0000 2016,UX Blog,Subscribe to The UX Blog Podcast on iTunes ↓ https://t.co/yNZHIeiDDl,7739,3896
11,715472941576663041,Meditation Tweeters,,4324,72,/MindcultureGuru/lists/meditation-tweeters,MindcultureGuru,Sun Jul 05 10:05:02 +0000 2015,MindcultureGuru,"I'm a #learner, #trainer & #writer interested in #mindculture #positivepsychology & the brain. Sharing ideas for #happy lives #growthmindset & #positivethinking",3302,5001
12,733029908167938055,Think Big Sunday with Mar,,4290,92,/champagnecoconu/lists/think-big-sunday-with-mar,champagnecoconu,Sat Apr 09 03:26:32 +0000 2016,Champagne and Coconuts,Champagne and Coconuts creates new #cocktail #recipes and puts a new twist on the classics. We're your go-to for entertaining and parties.,1421,1203
13,725492472462364672,BB UK,,4139,52,/sarahzazz1/lists/bb-uk,sarahzazz1,Thu May 28 19:11:09 +0000 2015,Love BB Sarah,Watch #BB18 24/7 Big Brother Live Feeds Russian Cave https://t.co/PgblDrOJHK,711,2256
14,724532633800216576,Management Strategy,,4386,72,/EtienneLecoq/lists/management-strategy,EtienneLecoq,Mon Nov 10 09:19:33 +0000 2014,Etienne Lecoq,"#SalesManager at @AntemetA #IT company, #cloudhybrid provider #storage #security #datacenter. #Digitaltransformation actor & #salestrategist.",314,26
15,737635172699504640,TwitterRockstar,,3814,77,/PippaLov/lists/twitterrockstar,PippaLov,Mon Mar 03 11:59:45 +0000 2014,Pippa Loveridge,Virtually Unflappable #DigitalMarketing #Strategy #SocialMedia 🤳#MirusIT #IoT #IT #MSP @MirusIT Head of Marketing My views 🤓 https://t.co/hzNA2VzZOR,8508,6277
16,736194038844559360,SocialMedia,,4097,45,/NicoGillet/lists/socialmedia,NicoGillet,Sat Apr 28 21:52:13 +0000 2012,Nicolas Gillet,"CEO de @BlackMoonLab, 1er startup studio rémois. 
1 plateforme, 6 produits et + de 100 partenaires. @VisualAppIo @WithYourFans",825,637
17,732987736924291072,Get to know the music beh,,4312,23,/MusiciansStory/lists/get-to-know-the-music-beh,MusiciansStory,Wed Apr 09 05:54:22 +0000 2014,Testimony Stories,"An interview podcast series about musicians, their music, and the role God plays in their life. Hosted by Gaelika Brown. Presented by Sound Seekers.",809,430
18,732842557479215104,Meditators,,4367,67,/ThinkersPGround/lists/meditators,ThinkersPGround,Thu Apr 25 17:47:29 +0000 2013,Thinker's Playground,Teach others how to think and you won't have to worry about what they think.,302,504
19,713973148161585152,quotes,,4014,56,/Quotesaddictedd/lists/quotes,Quotesaddictedd,Sun Mar 27 05:35:15 +0000 2016,Quotes.addict,,340,358
20,719366734197747712,Business leaders,,4281,86,/Liberty13046/lists/business-leaders,Liberty13046,Wed Sep 14 22:37:18 +0000 2011,Open California,"A prosperous economy happens without government intervention. I believe in liberty, safety, freedom and capitalism.",5663,3979
21,718864873136988160,Zen Life,"Poetry, wisdom...all things Zen. ",4235,71,/PrivateTeacher/lists/zen-life,PrivateTeacher,Sun Jul 19 18:52:16 +0000 2009,Elivan Souza,#AI #IoT #neuroscience #psychoanalysis #DeepLearning #Science #technology #MachineLearning #bigdata #tech #travel,67639,66524
22,705813250093387776,Wellness,,3202,41,/vytautasalech/lists/wellness,vytautasalech,Tue Sep 01 19:52:47 +0000 2009,Vy Alechnavicius,"UX team lead @Tesco. Cert. lifestyle transformation, endurance & sports coach; 
Also: stoicism, lindy, diy, outdoors. All opinions my own.",2187,311
23,232999336,Mental Health Heroes 3,,4405,118,/project_hu/lists/mental-health-heroes-3,project_hu,Tue Dec 29 16:12:30 +0000 2015,Honest Update,"Let's bring attention to the social media updates we don't post. Share yours & join the movement. Start the conversation, end the stigma.",307,0
