,TINFOLEAK Report
,Vicente Aguilera Díaz
,@VAguileraDiaz
,www.isecauditors.com
""
,>>> Date:,2020-07-27
,>>> Time:,21:09
,>>> Analyzed user:,dann_860
,>>> Information:,Friends
""
#,ID,USERNAME,SCREEN NAME,DESCRIPTION,PROFILE IMAGE URL,PROFILE BANNER URL,CREATED AT,LOCATION,TIME_ZONE,GEO ENABLED,FOLLOWERS COUNT,FRIENDS COUNT,STATUSES COUNT,LISTED COUNT,FAVOURITES COUNT,USER VERIFIED,USER LANG
1,285608473,I Am She 🌠🌠🌠,SheLuvsTGA,"Everything they ever told you was wrong with you, is actually what's right with you. You see things others don't https://t.co/MpeIvTRKei
➕ M🌐RE Videos 💥",http://pbs.twimg.com/profile_images/1287002832269455361/hh1ws_n5_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2011-04-21 13:28:17,London,,False,3964,2600,6770,10,20544,False,
2,2945287090,Bryson Gray,RealBrysonGray,🇺🇸 Right Wing Nut 🇺🇸 Fortnite Streamer 🇺🇸 Bible Thumper 🇺🇸 Music 🇺🇸 @TPUSA Ambassador Biz:BrysonGray@BrysonGGray.com Venmo: SuriusVsVodka / SUB BELOW,http://pbs.twimg.com/profile_images/1280633384742662147/A44JZJyt_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2014-12-28 03:45:54,"Greensboro, NC",,True,151521,13724,54514,221,22213,False,
3,1270531866634878977,Tina40,Tinaforte7,Proud patriot .. pissed off American ... spartan warrior.. Trump2020 .. proud deplorable... we the people.. conservative 🇺🇸❤️🇺🇸 Unfiltered,http://pbs.twimg.com/profile_images/1270557951841968128/ZHXkASFP_normal.jpg,,2020-06-10 01:43:10,"Bronx, NY",,False,92959,319,482,132,5916,False,
4,1285949564437041157,Bevelyn Beatty,BevelynZBeatty,The Wife of Christ. This is the official Bevelyn Beatty page! #JesusMatters,http://pbs.twimg.com/profile_images/1285949884890320896/LD2kPUw-_normal.jpg,,2020-07-22 14:47:41,,,False,68095,0,23,56,4,False,
5,39364684,chrissy teigen,chrissyteigen,de-motivational speaker / I tested positively toward negative,http://pbs.twimg.com/profile_images/1243351734757425152/e8JZwf03_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2009-05-11 22:50:04,couch,,True,13181389,4669,11970,8750,36579,True,
6,986635104184303617,el gato malo,boriquagato,"you like to pretend that you don't like bad cats, but deep down, you know you do.   prolonged exposure likely to give you toxoplasmosis.",http://pbs.twimg.com/profile_images/1205190025656315904/QMHi-hK9_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2018-04-18 15:58:34,"Puerto Rico, USA",,False,19001,65,24015,312,2171,False,
7,341194704,Steve Guest,SteveGuest,@GOP Rapid Response Director,http://pbs.twimg.com/profile_images/1227253243958394881/Ec_k_m9q_normal.jpg,http://abs.twimg.com/images/themes/theme14/bg.gif,2011-07-23 23:49:19,"Washington, DC",,True,65849,1744,37939,468,7422,True,
8,3001664273,Dr. Fkn Deplorable,swhotmess,"Treat everyone the same, until you find out they're an idiot. 
Govt is lying to you. Turn off TV programming and think.",http://pbs.twimg.com/profile_images/1240106281924546562/vSN0-2mA_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2015-01-27 17:01:35,Undisclosed,,False,11896,12666,92019,134,102418,False,
9,121532017,Stella Immanuel MD,stella_immanuel,"Physician, Author, Speaker, Entrepreneur, Deliverance Minister, God's battle axe and weapon of war. Rehoboth Medical Center, Houston, TX. Fire Power Ministries.",http://pbs.twimg.com/profile_images/1083839675/Dr_Stella_Profile_Pic__small__normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2010-03-09 20:07:16,"Houston, TX",,False,15631,64,505,58,29,False,
10,48473072,Q The Wake Up,QTheWakeUp,Digital Soldier 🇺🇸. Creator of the “WWG1WGA Worldwide Video movement”. Most Important Q Drops - #2222 & #2225 👽 WWG1WGA🇺🇸🌎,http://pbs.twimg.com/profile_images/1256366567333474304/9HyETCIL_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2009-06-18 20:12:17,,,False,140301,208,3417,294,8353,False,
