,TINFOLEAK Report
,Vicente Aguilera Díaz
,@VAguileraDiaz
,www.isecauditors.com
""
,>>> Date:,2020-07-28
,>>> Time:,14:30
,>>> Analyzed user:,nandtpolitics
,>>> Information:,Friends
""
#,ID,USERNAME,SCREEN NAME,DESCRIPTION,PROFILE IMAGE URL,PROFILE BANNER URL,CREATED AT,LOCATION,TIME_ZONE,GEO ENABLED,FOLLOWERS COUNT,FRIENDS COUNT,STATUSES COUNT,LISTED COUNT,FAVOURITES COUNT,USER VERIFIED,USER LANG
1,25202268,Sara A. Carter,SaraCarterDC,"@FoxNews Contributor, award winning correspondent. Host, The Sara Carter Show Podcast. Taking back the story. Instagram: ScarterDC, Facebook Sara A. Carter",http://pbs.twimg.com/profile_images/1107325511028613127/7SvT3rHh_normal.jpg,http://abs.twimg.com/images/themes/theme5/bg.gif,2009-03-19 01:02:12,"Washington, D.C.",,True,1275312,5134,30772,4000,34975,True,
2,58309829,Nickelodeon,Nickelodeon,"The Official Twitter for Nickelodeon, USA!",http://pbs.twimg.com/profile_images/1238193190806708225/5kudmyGR_normal.jpg,http://abs.twimg.com/images/themes/theme4/bg.gif,2009-07-19 22:19:02,USA,,True,3911466,2666,56626,3436,22774,True,
3,33152005,Eric Weinstein,EricRWeinstein,Math guy. MD at Thiel Capital. Host of The Portal at https://t.co/gHSLEy6iyP YT: https://t.co/Qszr1mtwld,http://pbs.twimg.com/profile_images/183983583/weinstein200-1_normal.jpg,http://abs.twimg.com/images/themes/theme9/bg.gif,2009-04-19 06:50:34,Argleton,,True,398793,897,11770,3360,15912,True,
4,789302519595872257,Emilie Megas⭐⭐⭐,EmilieSantana6,🇺🇸Greek-America/Prayer Warrior/Greek Orthodox Christian/Trump 2020/ Anti- Globalist/ Ret Smithsonian /Widow of USMC🇺🇸,http://pbs.twimg.com/profile_images/1244670065779376129/rUlGUpHs_normal.jpg,,2016-10-21 03:09:20,DC Area,,False,3162,4990,10668,1,8950,False,
5,1500129642,Matt Walsh,MattWalshBlog,"theocratic fascist, tyrant, beekeeper",http://pbs.twimg.com/profile_images/1283424239626919936/5hSPgmW8_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2013-06-11 03:17:16,,,False,409001,488,43944,2553,0,True,
6,314826515,"Unsigned, Journalism",jgrantaddison,"deputy editor, @dcexaminer magazine | past: education policy, @aei | read in: @wsj @nationalaffairs @nro @quillette @insidehighered, others | go Hogs 'n stuff",http://pbs.twimg.com/profile_images/1060990406651994112/McVUxFv6_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2011-06-10 21:38:52,"Washington, DC",,True,8680,993,24058,85,43910,True,
7,398184852,Fr. Dwight Longenecker,dlongenecker1,"Evangelical home, then Oxford and an Anglican priest, now Catholic priest, blogger, Author of Immortal Combat and eighteen other books - Husband, Dad",http://pbs.twimg.com/profile_images/1256205164769415168/nBldcJXQ_normal.jpg,http://abs.twimg.com/images/themes/theme9/bg.gif,2011-10-25 18:05:34,"Greenville, South Carolina",,True,38301,1549,25922,418,6729,False,
8,246103,Jeffrey Guterman,JeffreyGuterman,Insert pithy quote here.,http://pbs.twimg.com/profile_images/1284471554441699333/3BLACmWX_normal.jpg,http://abs.twimg.com/images/themes/theme7/bg.gif,2006-12-25 17:32:24,Global,,True,341292,37618,223781,3214,773642,True,
9,975013151598096384,Dagny Taggart,DagnyTaggartQ,,http://pbs.twimg.com/profile_images/975025311149690880/CjSfWso7_normal.jpg,,2018-03-17 14:17:05,,,False,200,550,3795,1,15543,False,
10,1256533822356819968,King Larry Hogan The Last (🚫MDKing) (FakeAccount),KingLarryHogan1,"Parody account. Satire. Not Larry Hogan.

""I was playin' in the beginning/The mood all changed."" - MM

#ReOpenMD #ReOpenAmerica #RiseUp #LibertyforAll #1A #2A",http://pbs.twimg.com/profile_images/1266544344842059787/kqmaGyRB_normal.jpg,,2020-05-02 10:40:19,Beijing-On-The-Severn,,False,48,122,1274,0,1369,False,
11,319975432,NickLoffer,NickLoffer1,Sports nut and BBQ junkie. Full time hockey. Semi-retired mid-distance runner. Here for the #floridaMan stories. #SalisburyGrad #goBuckeyes #goNavy,http://pbs.twimg.com/profile_images/661374560864854016/8guaqEd3_normal.png,http://abs.twimg.com/images/themes/theme1/bg.png,2011-06-19 02:45:01,Florida,,False,538,1422,8568,25,5490,False,
12,1242465624921530368,🌻 🇺🇸 jojo 🇺🇸🌻,ginger_consult2,#maryland born and raised! #maga This is a democrat free zone. All democrats are blocked. Keep America Great Again!,http://pbs.twimg.com/profile_images/1278125469372727302/4DZtAnKP_normal.jpg,,2020-03-24 14:57:52,,,False,193,272,13347,0,1416,False,
13,1115597086441914372,Briarcliff Armory,BriarcliffArms,Gun Owner. Pro 2nd Amendment.,http://pbs.twimg.com/profile_images/1168640494731177984/IGObfD4I_normal.jpg,,2019-04-09 12:47:27,"Queen Anne's Co, Maryland, USA",,False,26,88,348,0,372,False,
14,1195800048988233735,W. W. Neall,neall_w,#Trinity #Family 🇺🇸 #WWG1WGA #Trump2020 #MAGA #KAG #PatriotsUnite #HonorOurVets (not the traitors)  #SupportOurTroops 🇺🇸,http://pbs.twimg.com/profile_images/1213776092051492870/PIRsR3JT_normal.jpg,,2019-11-16 20:26:34,"Maryland, USA",,False,2120,3239,3388,0,14484,False,
15,252398355,Daniel Horowitz,RMConservative,"Senior Editor at https://t.co/nnZgW71n8b conservative writer, policy analyst, host of CR Podcast https://t.co/kNwNIB9w7v",http://pbs.twimg.com/profile_images/726920189468618754/88XsM6k7_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2011-02-15 03:19:52,,,False,96455,657,98089,901,62,True,
