,TINFOLEAK Report
,Vicente Aguilera Díaz
,@VAguileraDiaz
,www.isecauditors.com
""
,>>> Date:,2020-07-28
,>>> Time:,23:45
,>>> Analyzed user:,nowhitechalk
,>>> Information:,Friends
""
#,ID,USERNAME,SCREEN NAME,DESCRIPTION,PROFILE IMAGE URL,PROFILE BANNER URL,CREATED AT,LOCATION,TIME_ZONE,GEO ENABLED,FOLLOWERS COUNT,FRIENDS COUNT,STATUSES COUNT,LISTED COUNT,FAVOURITES COUNT,USER VERIFIED,USER LANG
1,1067768676865241091,Hamilton Lincoln Law Institute,HamLincLaw,"Free-market public-interest litigation firm, led by Melissa Holyoak and @tedfrank. New home of @CCAF. Free speech, separation of powers, class action fairness.",http://pbs.twimg.com/profile_images/1074700794862149637/6xMZ4v0F_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2018-11-28 13:14:25,"Washington, DC",,False,494,113,186,7,17,False,
2,1005846500583321601,Alexander S. Vindman,AVindman,Husband. Father. Brother. Son. Soldier. Diplomat. Immigrant. NATSEC warrior. Eurasia Specialist. Patriot. Defender of the Constitution... Useful Public Servant!,http://pbs.twimg.com/profile_images/1259494381788282883/RH3Dho7l_normal.jpg,,2018-06-10 16:17:48,,,False,340096,433,44,403,143,True,
3,988642091675734017,Garrison Davis (Teargas Proof),hungrybowtie,"Portland based journalist, vids in @abcnews @nbcnews @reuters @newshour, they/he Cashapp- $hungrybowtie PayPal https://t.co/e0KK4Jmm7W",http://pbs.twimg.com/profile_images/1286540244007804928/r6MkR4Hb_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2018-04-24 04:53:37,"Portland, OR",,False,41130,196,2510,453,119,False,
4,25974425,Paul van der Meer,Paul_VanDerMeer,"Psychologist/researcher/writer
Desperately looking for the truth",http://pbs.twimg.com/profile_images/1158124038574792706/a4IJyvLU_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2009-03-23 08:57:57,"Valencia (Valencia), Spain",,True,39792,41180,35938,60,130433,False,
5,161563071,@jevinwest,jevinwest,"Assoc. Professor @UW_iSchool, Director of Center for an Informed Public @uwcip. I study misinformation in science & society. Book: https://t.co/37LBNmiuyI",http://pbs.twimg.com/profile_images/1097915566151557125/ZfZxxpzv_normal.png,http://abs.twimg.com/images/themes/theme1/bg.png,2010-07-01 04:44:16,"Seattle, WA",,False,5711,129,301,165,42,True,
6,763156668699975680,Calling Bullshit,callin_bull,Calling Bullshit: Examples and opinions from instructors @CT_Bergstrom and @JevinWest at the @UW. Book coming August 4th: https://t.co/XiU8wBbybO,http://pbs.twimg.com/profile_images/763207337972633603/-lM6MRvb_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2016-08-09 23:35:03,"Seattle, WA",,True,18100,2859,2820,271,9410,False,
7,3038389152,Beth🌊,justabadazz,When will media figure out they should ignore shiny objects trump throws at them & report on his 100s of conflicts of interest & his being owned by mob?#resist,http://pbs.twimg.com/profile_images/1249775527541370880/ChY3e5at_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2015-02-23 19:19:13,West coast elite😏,,False,2207,2118,90645,31,74190,False,
8,2724597409,Peter Ellis,ellis2013nz,Chief Data Scientist @NousGroup. Wide-ranging interests.  Tweets represent my views and are most likely to be about data and #rstats. Australian.,http://pbs.twimg.com/profile_images/618224596798476288/n9IN8hcm_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2014-08-11 20:01:32,"Melbourne, Victoria",,True,2807,1994,5192,132,10718,False,
9,1223054966379765762,Lisa Maxwell 🌊🌊,LisaMaxResist,"#TsunamiBlueWave2020 
 The 3 p's! People, pets and personality.🚫racism☯️⚛♊
Unapologetically myself! Citizen of the World 🌎💞🌈❄🌡⛅🌠NO LISTS, TY#TheResistance",http://pbs.twimg.com/profile_images/1264156233285750784/ziswYc_w_normal.jpg,,2020-01-31 01:26:57,"Texas, USA",,False,10550,6138,8392,13,23125,False,
10,242537521,Medium Rare,MediumRareDC,"We specialize in one thing: simplicity.Our exclusive culotte steak,a very “secret” sauce, fresh cut fries, fun desserts & the best bottomless weekend brunches",http://pbs.twimg.com/profile_images/3298914508/20784a2d0ab72f3915bb784380989e6f_normal.jpeg,http://abs.twimg.com/images/themes/theme1/bg.png,2011-01-25 00:51:40,"Washington, DC, Bethesda, MD, Arlington, VA",,True,3927,4849,11764,82,7530,False,
11,1187747527,Ken Unger,LungMD01,"Pulmonary, Critical Care, Hospice and Palliative Medicine. Passionate about affordable health care for all. 🌊 @Indivisible_SP 🌊#VetsResistSquadron",http://pbs.twimg.com/profile_images/3263797497/e2fd7b6d1745474d3ab781e03ed77856_normal.jpeg,http://abs.twimg.com/images/themes/theme1/bg.png,2013-02-16 23:10:30,"San Pedro, Los Angeles",,False,37273,39218,85759,20,127826,False,
12,460549254,FondFarewellFlacco,FoxForceFlacco,Too much Baltimore sports for the political radicals and too much political radicalism for the Baltimore sports fans,http://pbs.twimg.com/profile_images/1267087814950359041/FTzaPFnI_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2012-01-10 21:45:59,Baltimore,,False,699,989,10973,8,11438,False,
13,21443697,Jay Rouse,JayRouseDC,"Husband, Father of three, Political Consultant, Lifelong Democrat, Friend of Bill since 1983, #CountryOverParty #LeaveItBetterThanYouFoundIt",http://pbs.twimg.com/profile_images/1018181671290589186/7eoWyIla_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2009-02-20 22:56:03,Washington DC,,False,15073,12046,31505,21,54387,False,
