,TINFOLEAK Report
,Vicente Aguilera Díaz
,@VAguileraDiaz
,www.isecauditors.com
""
,>>> Date:,2020-07-28
,>>> Time:,01:57
,>>> Analyzed user:,nursohalbgeil
,>>> Information:,Followers
""
#,ID,USERNAME,SCREEN NAME,DESCRIPTION,PROFILE IMAGE URL,PROFILE BANNER URL,CREATED AT,LOCATION,TIME_ZONE,GEO ENABLED,FOLLOWERS COUNT,FRIENDS COUNT,STATUSES COUNT,LISTED COUNT,FAVOURITES COUNT,USER VERIFIED,USER LANG
1,313129119,G.Braun,GuenterBraun,"🇩🇪Was ich teile, muss nicht meine Zustimmung haben. was ich Like muss nicht richtig sein, ein Jeder möge selbst entscheiden...🇩🇪nicht links und nicht rechts",http://pbs.twimg.com/profile_images/1277688883900305412/pfgloxtZ_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2011-06-08 05:45:33,Deutschland,,False,742,1842,1208,0,403,False,
2,1276931731413700608,The-Evil-Returns,TheEvilReturns2,The first evil,http://pbs.twimg.com/profile_images/1276932744266817543/lMmYwt0j_normal.jpg,,2020-06-27 17:33:58,,,False,20,143,705,0,1414,False,
3,1248681927957241858,Ginette Hub,HubGinette,"Rigtige venner er svære at finde,
sværere at forlade,
men umuligt at glemme.",http://pbs.twimg.com/profile_images/1273998255236530183/16LEPE9H_normal.jpg,,2020-04-10 18:39:25,,,False,592,4023,0,1,2,False,
4,1055837190079594496,Pipi,Pipi22392823,"Ne Meinung haben, dahinter stehn, den Weg von Anfang zu Ende gehn, wenn's sein muß, ganz allein da oben stehn.",http://pbs.twimg.com/profile_images/1256927432541638656/GiGwtjR1_normal.jpg,,2018-10-26 15:02:57,,,False,454,643,7640,1,7027,False,
5,1232810499118682125,Hubert W. Meier,HubertWMeier,,http://pbs.twimg.com/profile_images/1243873871658463232/p3-PW0YJ_normal.jpg,,2020-02-26 23:32:04,,,False,1059,5000,11844,3,14626,False,
6,4788247534,Mc Schlosser Klarname 🇩🇪🇵🇱,McNeuhoff,,http://pbs.twimg.com/profile_images/698617165382053889/W-RKfnO9_normal.jpg,,2016-01-12 22:12:47,"Nordrhein-Westfalen, Deutschland",,False,1203,3437,58126,29,56147,False,
7,24363209,Eddie Graf,Eddie_1412,"Wer mich listet - wird geblockt! 
Dummschwätzer werden ohne weitere Anhörung sofort blockiert.",http://pbs.twimg.com/profile_images/1165980739197919233/MjXtU2uH_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2009-03-14 12:47:42,,,False,6491,4202,86943,1,182035,False,
8,1284431148,D.-Dominik Hennig,DiDoHenn,#teamdennenmoser,http://pbs.twimg.com/profile_images/1276244205027942407/PpH0dCcU_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2013-03-20 22:34:10,,,False,618,1147,4746,12,25726,False,
9,869926857071878144,Simon Dennenmoser,SimonDennen,AfD-Kreisvorsitzender Göppingen,http://pbs.twimg.com/profile_images/1269754686573293573/XPCtyl-a_normal.jpg,,2017-05-31 14:41:39,,,False,756,837,1360,7,9027,False,
10,1198531536951242752,Animatoren Unterstützer,animatorger,"Wir unterstützen Animatoren, um ein besseres Arbeitsumfeld zu schaffen.",http://pbs.twimg.com/profile_images/1198531966645108736/Jntir3qW_normal.jpg,,2019-11-24 09:19:28,,,False,1368,4634,5,0,30,False,
