,TINFOLEAK Report
,Vicente Aguilera Díaz
,@VAguileraDiaz
,www.isecauditors.com
""
,>>> Date:,2020-07-28
,>>> Time:,23:23
,>>> Analyzed user:,self_govern4us
,>>> Information:,Friends
""
#,ID,USERNAME,SCREEN NAME,DESCRIPTION,PROFILE IMAGE URL,PROFILE BANNER URL,CREATED AT,LOCATION,TIME_ZONE,GEO ENABLED,FOLLOWERS COUNT,FRIENDS COUNT,STATUSES COUNT,LISTED COUNT,FAVOURITES COUNT,USER VERIFIED,USER LANG
1,493694053,Left Wexit🌾,iosegun,"Maps, history, socialism 🌾, @bertaadvantage contributor & researcher",http://pbs.twimg.com/profile_images/1224548317675212801/2FfpaR_4_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2012-02-16 02:42:32,"Calgary, Alberta/Treaty 7",,True,1719,838,34062,16,23371,False,
2,1168262780555857920,🏴 bauhinia black,bauhiniablack,"Solidarity against ALL police/state violence 👁🏴🥀 報仇! anarchist, anti-fascist, decolonial, azn 🐉🏴 BIPOC🤝Hong Kong🤝Uyghurs🤝Tibetans",http://pbs.twimg.com/profile_images/1281686384621780994/Pg1Z2gAu_normal.jpg,,2019-09-01 20:42:14,parkdale//tkaronto,,False,5192,4149,6887,30,25762,False,
3,4218066651,Lois Apaquash,ogimaakwe1,"Ojibwe, Baawting N'donjibaa, Ajijaak Ndodem, story keeper, mother, grandmother, sister, auntie. No lists https://t.co/BB04nO4aPD",http://pbs.twimg.com/profile_images/1187048664063270912/Gfn70ZPa_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2015-11-18 13:11:22,ON ,,False,501,972,9037,2,19264,False,
4,221506003,sagan,sagan_ty,"settler. Terrorism/extremism studies, far-right Twitter troll bait. Thankfully there’s a mute option for my friends ¡No pasarán! 🌱🌊✌🏼🏴",http://pbs.twimg.com/profile_images/1267177754891444224/zrHRBJRi_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2010-11-30 21:13:53,,,True,238,592,3999,2,12359,False,
5,1030147795838091264,Victoria Tenant Action Group,TAGVictoriaBC,"Victoria Tenant Action Group (VTAG) is a grassroots organization for housing justice, resisting real estate capital on Lekwungen & W̱SÁNEĆ lands",http://pbs.twimg.com/profile_images/1030168362930733056/xWU19xaq_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,2018-08-16 17:42:28,"Victoria, British Columbia",,False,224,397,343,4,316,False,
6,236536891,BC Compassion Club,theBCCCS,"A compassionate care service, providing medical cannabis and alternative therapies since 1997.",http://pbs.twimg.com/profile_images/727278761947750400/e3FIv97C_normal.jpg,http://abs.twimg.com/images/themes/theme15/bg.png,2011-01-10 20:30:29,Vancouver,,True,1950,1057,2017,38,96,False,
7,881210515,Victoria Cannabis Buyers Club,VCBCtweets,Providing medicinal cannabis to people with incurable physical ailments since 1996.  Official acct is run by a volunteer who operates remotely from the club.,http://pbs.twimg.com/profile_images/2719619417/d362841d215252bd3c1ae0c8dedb9c4c_normal.png,http://abs.twimg.com/images/themes/theme1/bg.png,2012-10-14 23:52:52,"Victoria, British Columbia",,True,949,366,402,21,423,False,
8,1263501543816347648,The Back Pack Project Victoria BC,TheBackPackPro1,The Backpack Project is a local initiative which provides backpacks full of necessities & comfort items to community members who are experiencing homelessness.,http://pbs.twimg.com/profile_images/1263501945102163968/0UNYOpHn_normal.jpg,,2020-05-21 16:07:10,Victoria BC,,False,44,79,57,1,247,False,
9,26386741,Anna Braunizer (she/her),ABraunizer,"Occupational Therapist. Web, Social Media & Graphic Designer. Lives with love & learning. Views=my own.",http://pbs.twimg.com/profile_images/1258859099891982336/uwc4lE_-_normal.jpg,http://abs.twimg.com/images/themes/theme14/bg.gif,2009-03-25 01:10:53,"Victoria, British Columbia",,False,685,1274,6077,22,18324,False,
10,292588093,James F,JFRA24,"Progressive secular humanist. End the war on drugs. There are many forms of ""Recovery."" Personal account, Giuseppe, duh. Rude. Many Tpyos. #recoverycapitalists",http://pbs.twimg.com/profile_images/1279527213663023109/Ik8M_xsQ_normal.jpg,http://abs.twimg.com/images/themes/theme14/bg.gif,2011-05-03 22:11:09,Canada,,False,900,3460,4011,8,8926,False,
11,104235878,Susan Z. Martin,suziezed,Grateful to be living on lands of the Te'mexw Treaty Association. Health Information Science BSc 2019,http://pbs.twimg.com/profile_images/505147088825356288/l4JkH1AR_normal.jpeg,http://abs.twimg.com/images/themes/theme1/bg.png,2010-01-12 18:31:46,"Victoria, British Columbia",,False,639,1546,9636,28,955,False,
